Compound	Group	Presence	annotation	Tail
Histidine-C10:1	Plants	FALSE	C10:1	Medium
Leucine-C10:1	Humans	TRUE	C10:1	Medium
Leucine-C10:1	Rodents	FALSE	C10:1	Medium
Leucine-C10:1	Microbes	TRUE	C10:1	Medium
Leucine-C10:1	Foods	FALSE	C10:1	Medium
Leucine-C10:1	Plants	FALSE	C10:1	Medium
Phenylalanine-C10:1	Humans	FALSE	C10:1	Medium
Phenylalanine-C10:1	Rodents	FALSE	C10:1	Medium
Phenylalanine-C10:1	Microbes	TRUE	C10:1	Medium
Phenylalanine-C10:1	Foods	TRUE	C10:1	Medium
Phenylalanine-C10:1	Plants	FALSE	C10:1	Medium
Spermidine-C10:1	Humans	FALSE	C10:1	Medium
Spermidine-C10:1	Rodents	FALSE	C10:1	Medium
Spermidine-C10:1	Microbes	FALSE	C10:1	Medium
Spermidine-C10:1	Foods	TRUE	C10:1	Medium
Spermidine-C10:1	Plants	TRUE	C10:1	Medium
Tyramine-C10:1	Humans	TRUE	C10:1	Medium
Tyramine-C10:1	Rodents	FALSE	C10:1	Medium
Tyramine-C10:1	Microbes	FALSE	C10:1	Medium
Tyramine-C10:1	Foods	TRUE	C10:1	Medium
Tyramine-C10:1	Plants	TRUE	C10:1	Medium
Tyrosine-C10:1	Humans	FALSE	C10:1	Medium
Tyrosine-C10:1	Rodents	FALSE	C10:1	Medium
Tyrosine-C10:1	Microbes	TRUE	C10:1	Medium
Tyrosine-C10:1	Foods	TRUE	C10:1	Medium
Tyrosine-C10:1	Plants	TRUE	C10:1	Medium
2-phenethylamine-C10:2	Humans	FALSE	C10:2	Medium
2-phenethylamine-C10:2	Rodents	TRUE	C10:2	Medium
2-phenethylamine-C10:2	Microbes	FALSE	C10:2	Medium
2-phenethylamine-C10:2	Foods	FALSE	C10:2	Medium
2-phenethylamine-C10:2	Plants	TRUE	C10:2	Medium
Glutamine-C10:2	Humans	TRUE	C10:2	Medium
Glutamine-C10:2	Rodents	FALSE	C10:2	Medium
Glutamine-C10:2	Microbes	FALSE	C10:2	Medium
Glutamine-C10:2	Foods	FALSE	C10:2	Medium
Glutamine-C10:2	Plants	FALSE	C10:2	Medium
Glutathione-C10:2	Humans	FALSE	C10:2	Medium
Glutathione-C10:2	Rodents	TRUE	C10:2	Medium
Glutathione-C10:2	Microbes	FALSE	C10:2	Medium
Glutathione-C10:2	Foods	FALSE	C10:2	Medium
Glutathione-C10:2	Plants	FALSE	C10:2	Medium
Leucine-C10:2	Humans	TRUE	C10:2	Medium
Leucine-C10:2	Rodents	FALSE	C10:2	Medium
Leucine-C10:2	Microbes	FALSE	C10:2	Medium
Leucine-C10:2	Foods	FALSE	C10:2	Medium
Leucine-C10:2	Plants	FALSE	C10:2	Medium
Spermidine-C10:2	Humans	FALSE	C10:2	Medium
Spermidine-C10:2	Rodents	FALSE	C10:2	Medium
Spermidine-C10:2	Microbes	FALSE	C10:2	Medium
Spermidine-C10:2	Foods	FALSE	C10:2	Medium
Spermidine-C10:2	Plants	TRUE	C10:2	Medium
Tyramine-C10:2	Humans	FALSE	C10:2	Medium
Tyramine-C10:2	Rodents	FALSE	C10:2	Medium
Tyramine-C10:2	Microbes	FALSE	C10:2	Medium
Tyramine-C10:2	Foods	FALSE	C10:2	Medium
Tyramine-C10:2	Plants	TRUE	C10:2	Medium
Tyrosine-C10:2	Humans	TRUE	C10:2	Medium
Tyrosine-C10:2	Rodents	FALSE	C10:2	Medium
Tyrosine-C10:2	Microbes	FALSE	C10:2	Medium
Tyrosine-C10:2	Foods	FALSE	C10:2	Medium
Tyrosine-C10:2	Plants	FALSE	C10:2	Medium
2-phenethylamine-C10:3	Humans	FALSE	C10:3	Medium
2-phenethylamine-C10:3	Rodents	FALSE	C10:3	Medium
2-phenethylamine-C10:3	Microbes	FALSE	C10:3	Medium
2-phenethylamine-C10:3	Foods	FALSE	C10:3	Medium
2-phenethylamine-C10:3	Plants	TRUE	C10:3	Medium
Glutamine-C10:3	Humans	TRUE	C10:3	Medium
Glutamine-C10:3	Rodents	FALSE	C10:3	Medium
Glutamine-C10:3	Microbes	FALSE	C10:3	Medium
Glutamine-C10:3	Foods	TRUE	C10:3	Medium
Glutamine-C10:3	Plants	FALSE	C10:3	Medium
Tryptamine-C10:3	Humans	FALSE	C10:3	Medium
Tryptamine-C10:3	Rodents	TRUE	C10:3	Medium
Tryptamine-C10:3	Microbes	FALSE	C10:3	Medium
Tryptamine-C10:3	Foods	FALSE	C10:3	Medium
Tryptamine-C10:3	Plants	FALSE	C10:3	Medium
2-phenethylamine-C10:4	Humans	FALSE	C10:4	Medium
2-phenethylamine-C10:4	Rodents	FALSE	C10:4	Medium
2-phenethylamine-C10:4	Microbes	FALSE	C10:4	Medium
2-phenethylamine-C10:4	Foods	FALSE	C10:4	Medium
2-phenethylamine-C10:4	Plants	TRUE	C10:4	Medium
Tyramine-C10:4	Humans	TRUE	C10:4	Medium
Tyramine-C10:4	Rodents	TRUE	C10:4	Medium
Tyramine-C10:4	Microbes	FALSE	C10:4	Medium
Tyramine-C10:4	Foods	FALSE	C10:4	Medium
Tyramine-C10:4	Plants	FALSE	C10:4	Medium
Alanine/Sarcosine-C11:0	Humans	TRUE	C11:0	Medium
Alanine/Sarcosine-C11:0	Rodents	FALSE	C11:0	Medium
Alanine/Sarcosine-C11:0	Microbes	FALSE	C11:0	Medium
Alanine/Sarcosine-C11:0	Foods	FALSE	C11:0	Medium
Alanine/Sarcosine-C11:0	Plants	FALSE	C11:0	Medium
Arginine-C11:0	Humans	FALSE	C11:0	Medium
Arginine-C11:0	Rodents	FALSE	C11:0	Medium
Arginine-C11:0	Microbes	TRUE	C11:0	Medium
Arginine-C11:0	Foods	FALSE	C11:0	Medium
Arginine-C11:0	Plants	FALSE	C11:0	Medium
Asparagine-C11:0	Humans	TRUE	C11:0	Medium
Asparagine-C11:0	Rodents	FALSE	C11:0	Medium
Asparagine-C11:0	Microbes	TRUE	C11:0	Medium
Asparagine-C11:0	Foods	FALSE	C11:0	Medium
Asparagine-C11:0	Plants	FALSE	C11:0	Medium
Citrulline-C11:0	Humans	FALSE	C11:0	Medium
Citrulline-C11:0	Rodents	FALSE	C11:0	Medium
Citrulline-C11:0	Microbes	TRUE	C11:0	Medium
Citrulline-C11:0	Foods	FALSE	C11:0	Medium
Citrulline-C11:0	Plants	FALSE	C11:0	Medium
Glutamic acid-C11:0	Humans	FALSE	C11:0	Medium
Glutamic acid-C11:0	Rodents	FALSE	C11:0	Medium
Glutamic acid-C11:0	Microbes	TRUE	C11:0	Medium
Glutamic acid-C11:0	Foods	FALSE	C11:0	Medium
Glutamic acid-C11:0	Plants	FALSE	C11:0	Medium
Lysine-C11:0	Humans	TRUE	C11:0	Medium
Lysine-C11:0	Rodents	FALSE	C11:0	Medium
Lysine-C11:0	Microbes	TRUE	C11:0	Medium
Lysine-C11:0	Foods	FALSE	C11:0	Medium
Lysine-C11:0	Plants	FALSE	C11:0	Medium
Tryptamine-C11:0	Humans	FALSE	C11:0	Medium
Tryptamine-C11:0	Rodents	FALSE	C11:0	Medium
Tryptamine-C11:0	Microbes	TRUE	C11:0	Medium
Tryptamine-C11:0	Foods	FALSE	C11:0	Medium
Tryptamine-C11:0	Plants	FALSE	C11:0	Medium
Tyrosine-C11:0	Humans	FALSE	C11:0	Medium
Tyrosine-C11:0	Rodents	FALSE	C11:0	Medium
Tyrosine-C11:0	Microbes	TRUE	C11:0	Medium
Tyrosine-C11:0	Foods	FALSE	C11:0	Medium
Tyrosine-C11:0	Plants	FALSE	C11:0	Medium
Glutamic acid-C11:1	Humans	TRUE	C11:1	Medium
Glutamic acid-C11:1	Rodents	FALSE	C11:1	Medium
Glutamic acid-C11:1	Microbes	FALSE	C11:1	Medium
Glutamic acid-C11:1	Foods	FALSE	C11:1	Medium
Glutamic acid-C11:1	Plants	FALSE	C11:1	Medium
Glutamine-C11:1	Humans	TRUE	C11:1	Medium
Glutamine-C11:1	Rodents	FALSE	C11:1	Medium
Glutamine-C11:1	Microbes	TRUE	C11:1	Medium
Glutamine-C11:1	Foods	FALSE	C11:1	Medium
Glutamine-C11:1	Plants	FALSE	C11:1	Medium
Glutamine-C11:2	Humans	TRUE	C11:2	Medium
Glutamine-C11:2	Rodents	FALSE	C11:2	Medium
Glutamine-C11:2	Microbes	TRUE	C11:2	Medium
Glutamine-C11:2	Foods	FALSE	C11:2	Medium
Glutamine-C11:2	Plants	FALSE	C11:2	Medium
Histidine-C11:2	Humans	FALSE	C11:2	Medium
Histidine-C11:2	Rodents	FALSE	C11:2	Medium
Histidine-C11:2	Microbes	FALSE	C11:2	Medium
Histidine-C11:2	Foods	TRUE	C11:2	Medium
Histidine-C11:2	Plants	FALSE	C11:2	Medium
Phenylalanine-C11:4	Humans	FALSE	C11:4	Medium
Phenylalanine-C11:4	Rodents	FALSE	C11:4	Medium
Phenylalanine-C11:4	Microbes	TRUE	C11:4	Medium
Phenylalanine-C11:4	Foods	TRUE	C11:4	Medium
Phenylalanine-C11:4	Plants	FALSE	C11:4	Medium
Tryptamine-C11:4	Humans	TRUE	C11:4	Medium
Tryptamine-C11:4	Rodents	FALSE	C11:4	Medium
Tryptamine-C11:4	Microbes	TRUE	C11:4	Medium
Tryptamine-C11:4	Foods	FALSE	C11:4	Medium
Tryptamine-C11:4	Plants	FALSE	C11:4	Medium
Alanine/Sarcosine-C12:0	Humans	TRUE	C12:0	Medium
Alanine/Sarcosine-C12:0	Rodents	TRUE	C12:0	Medium
Alanine/Sarcosine-C12:0	Microbes	FALSE	C12:0	Medium
Alanine/Sarcosine-C12:0	Foods	FALSE	C12:0	Medium
Alanine/Sarcosine-C12:0	Plants	FALSE	C12:0	Medium
Aminoadipic acid-C12:0	Humans	FALSE	C12:0	Medium
Aminoadipic acid-C12:0	Rodents	FALSE	C12:0	Medium
Aminoadipic acid-C12:0	Microbes	TRUE	C12:0	Medium
Aminoadipic acid-C12:0	Foods	FALSE	C12:0	Medium
Aminoadipic acid-C12:0	Plants	FALSE	C12:0	Medium
Arginine-C12:0	Humans	TRUE	C12:0	Medium
Arginine-C12:0	Rodents	FALSE	C12:0	Medium
Arginine-C12:0	Microbes	TRUE	C12:0	Medium
Arginine-C12:0	Foods	TRUE	C12:0	Medium
Arginine-C12:0	Plants	FALSE	C12:0	Medium
Asparagine-C12:0	Humans	TRUE	C12:0	Medium
Asparagine-C12:0	Rodents	FALSE	C12:0	Medium
Asparagine-C12:0	Microbes	TRUE	C12:0	Medium
Asparagine-C12:0	Foods	FALSE	C12:0	Medium
Asparagine-C12:0	Plants	FALSE	C12:0	Medium
Cadaverine-C12:0	Humans	TRUE	C12:0	Medium
Cadaverine-C12:0	Rodents	FALSE	C12:0	Medium
Cadaverine-C12:0	Microbes	TRUE	C12:0	Medium
Cadaverine-C12:0	Foods	FALSE	C12:0	Medium
Cadaverine-C12:0	Plants	FALSE	C12:0	Medium
Citrulline-C12:0	Humans	TRUE	C12:0	Medium
Citrulline-C12:0	Rodents	FALSE	C12:0	Medium
Citrulline-C12:0	Microbes	TRUE	C12:0	Medium
Citrulline-C12:0	Foods	FALSE	C12:0	Medium
Citrulline-C12:0	Plants	FALSE	C12:0	Medium
GABA-C12:0	Humans	TRUE	C12:0	Medium
GABA-C12:0	Rodents	FALSE	C12:0	Medium
GABA-C12:0	Microbes	TRUE	C12:0	Medium
GABA-C12:0	Foods	TRUE	C12:0	Medium
GABA-C12:0	Plants	FALSE	C12:0	Medium
Glutamic acid-C12:0	Humans	TRUE	C12:0	Medium
Glutamic acid-C12:0	Rodents	FALSE	C12:0	Medium
Glutamic acid-C12:0	Microbes	FALSE	C12:0	Medium
Glutamic acid-C12:0	Foods	FALSE	C12:0	Medium
Glutamic acid-C12:0	Plants	FALSE	C12:0	Medium
Glutamine-C12:0	Humans	TRUE	C12:0	Medium
Glutamine-C12:0	Rodents	FALSE	C12:0	Medium
Glutamine-C12:0	Microbes	TRUE	C12:0	Medium
Glutamine-C12:0	Foods	TRUE	C12:0	Medium
Glutamine-C12:0	Plants	FALSE	C12:0	Medium
Histamine-C12:0	Humans	TRUE	C12:0	Medium
Histamine-C12:0	Rodents	FALSE	C12:0	Medium
Histamine-C12:0	Microbes	FALSE	C12:0	Medium
Histamine-C12:0	Foods	FALSE	C12:0	Medium
Histamine-C12:0	Plants	FALSE	C12:0	Medium
Histidine-C12:0	Humans	TRUE	C12:0	Medium
Histidine-C12:0	Rodents	FALSE	C12:0	Medium
Histidine-C12:0	Microbes	FALSE	C12:0	Medium
Histidine-C12:0	Foods	TRUE	C12:0	Medium
Histidine-C12:0	Plants	TRUE	C12:0	Medium
Leucine-C12:0	Humans	TRUE	C12:0	Medium
Leucine-C12:0	Rodents	FALSE	C12:0	Medium
Leucine-C12:0	Microbes	TRUE	C12:0	Medium
Leucine-C12:0	Foods	TRUE	C12:0	Medium
Leucine-C12:0	Plants	FALSE	C12:0	Medium
Lysine-C12:0	Humans	TRUE	C12:0	Medium
Lysine-C12:0	Rodents	TRUE	C12:0	Medium
Lysine-C12:0	Microbes	TRUE	C12:0	Medium
Lysine-C12:0	Foods	TRUE	C12:0	Medium
Lysine-C12:0	Plants	FALSE	C12:0	Medium
Methionine-C12:0	Humans	TRUE	C12:0	Medium
Methionine-C12:0	Rodents	FALSE	C12:0	Medium
Methionine-C12:0	Microbes	TRUE	C12:0	Medium
Methionine-C12:0	Foods	TRUE	C12:0	Medium
Methionine-C12:0	Plants	FALSE	C12:0	Medium
Phenylalanine-C12:0	Humans	TRUE	C12:0	Medium
Phenylalanine-C12:0	Rodents	TRUE	C12:0	Medium
Phenylalanine-C12:0	Microbes	TRUE	C12:0	Medium
Phenylalanine-C12:0	Foods	TRUE	C12:0	Medium
Phenylalanine-C12:0	Plants	FALSE	C12:0	Medium
Serine-C12:0	Humans	TRUE	C12:0	Medium
Serine-C12:0	Rodents	FALSE	C12:0	Medium
Serine-C12:0	Microbes	TRUE	C12:0	Medium
Serine-C12:0	Foods	FALSE	C12:0	Medium
Serine-C12:0	Plants	FALSE	C12:0	Medium
Taurine-C12:0	Humans	TRUE	C12:0	Medium
Taurine-C12:0	Rodents	FALSE	C12:0	Medium
Taurine-C12:0	Microbes	FALSE	C12:0	Medium
Taurine-C12:0	Foods	FALSE	C12:0	Medium
Taurine-C12:0	Plants	FALSE	C12:0	Medium
Threonine/homoserine-C12:0	Humans	TRUE	C12:0	Medium
Threonine/homoserine-C12:0	Rodents	FALSE	C12:0	Medium
Threonine/homoserine-C12:0	Microbes	TRUE	C12:0	Medium
Threonine/homoserine-C12:0	Foods	FALSE	C12:0	Medium
Threonine/homoserine-C12:0	Plants	FALSE	C12:0	Medium
Tryptamine-C12:0	Humans	TRUE	C12:0	Medium
Tryptamine-C12:0	Rodents	FALSE	C12:0	Medium
Tryptamine-C12:0	Microbes	FALSE	C12:0	Medium
Tryptamine-C12:0	Foods	FALSE	C12:0	Medium
Tryptamine-C12:0	Plants	FALSE	C12:0	Medium
Tryptophan-C12:0	Humans	TRUE	C12:0	Medium
Tryptophan-C12:0	Rodents	FALSE	C12:0	Medium
Tryptophan-C12:0	Microbes	FALSE	C12:0	Medium
Tryptophan-C12:0	Foods	FALSE	C12:0	Medium
Tryptophan-C12:0	Plants	FALSE	C12:0	Medium
Tyramine-C12:0	Humans	TRUE	C12:0	Medium
