Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail
Histidine-C6:0	Humans	TRUE	C6:0	Short		Glutamine-C9:1	Humans	TRUE	C9:1	Medium		Citrulline-C16:1	Microbes	TRUE	C16:1	Long						
Histidine-C6:0	Rodents	TRUE	C6:0	Short		Glutathione-C9:1	Rodents	TRUE	C9:1	Medium		Citrulline-C16:1	Foods	TRUE	C16:1	Long						
Histidine-C6:0	Microbes	TRUE	C6:0	Short		Glutamine-C9:2	Humans	TRUE	C9:2	Medium		GABA-C16:1	Plants	TRUE	C16:1	Long						
Histidine-C6:0	Foods	TRUE	C6:0	Short		Arginine-C9:4	Humans	TRUE	C9:4	Medium		Glutamic acid-C16:1	Humans	TRUE	C16:1	Long						
Leucine-C6:0	Humans	TRUE	C6:0	Short		Arginine-C9:4	Rodents	TRUE	C9:4	Medium		Glutamic acid-C16:1	Microbes	TRUE	C16:1	Long						
Leucine-C6:0	Rodents	TRUE	C6:0	Short		Histidine-C9:4	Microbes	TRUE	C9:4	Medium		Glutamine-C16:1	Humans	TRUE	C16:1	Long						
Leucine-C6:0	Microbes	TRUE	C6:0	Short		Histidine-C9:4	Foods	TRUE	C9:4	Medium		Glutamine-C16:1	Rodents	TRUE	C16:1	Long						
Leucine-C6:0	Foods	TRUE	C6:0	Short		Leucine-C9:4	Humans	TRUE	C9:4	Medium		Glutamine-C16:1	Microbes	TRUE	C16:1	Long						
Methionine-C6:0	Humans	TRUE	C6:0	Short		Leucine-C9:4	Rodents	TRUE	C9:4	Medium		Glycine-C16:1	Humans	TRUE	C16:1	Long						
Methionine-C6:0	Rodents	TRUE	C6:0	Short		Leucine-C9:4	Microbes	TRUE	C9:4	Medium		Glycine-C16:1	Rodents	TRUE	C16:1	Long						
Methionine-C6:0	Microbes	TRUE	C6:0	Short		Methionine-C9:4	Humans	TRUE	C9:4	Medium		Glycine-C16:1	Microbes	TRUE	C16:1	Long						
Methionine-C6:0	Foods	TRUE	C6:0	Short		Methionine-C9:4	Microbes	TRUE	C9:4	Medium		Glycine-C16:1	Foods	TRUE	C16:1	Long						
Phenylalanine-C6:0	Humans	TRUE	C6:0	Short		Phenylalanine-C9:4	Humans	TRUE	C9:4	Medium		Histamine-C16:1	Humans	TRUE	C16:1	Long						
Phenylalanine-C6:0	Rodents	TRUE	C6:0	Short		Tyramine-C9:4	Humans	TRUE	C9:4	Medium		Histidine-C16:1	Rodents	TRUE	C16:1	Long						
Phenylalanine-C6:0	Microbes	TRUE	C6:0	Short		Tyramine-C9:4	Microbes	TRUE	C9:4	Medium		Histidine-C16:1	Microbes	TRUE	C16:1	Long						
Phenylalanine-C6:0	Foods	TRUE	C6:0	Short		Tyrosine-C9:4	Humans	TRUE	C9:4	Medium		Leucine-C16:1	Humans	TRUE	C16:1	Long						
Phenylalanine-C6:0	Plants	TRUE	C6:0	Short								Leucine-C16:1	Rodents	TRUE	C16:1	Long						
Putrescine-C6:0	Humans	TRUE	C6:0	Short								Leucine-C16:1	Microbes	TRUE	C16:1	Long						
Putrescine-C6:0	Rodents	TRUE	C6:0	Short								Leucine-C16:1	Foods	TRUE	C16:1	Long						
Threonine/homoserine-C6:0	Humans	TRUE	C6:0	Short								Lysine-C16:1	Humans	TRUE	C16:1	Long						
Threonine/homoserine-C6:0	Microbes	TRUE	C6:0	Short								Lysine-C16:1	Rodents	TRUE	C16:1	Long						
Tryptophan-C6:0	Humans	TRUE	C6:0	Short								Lysine-C16:1	Microbes	TRUE	C16:1	Long						
Tyramine-C6:0	Humans	TRUE	C6:0	Short								Lysine-C16:1	Foods	TRUE	C16:1	Long						
Tyramine-C6:0	Rodents	TRUE	C6:0	Short								Methionine-C16:1	Rodents	TRUE	C16:1	Long						
Tyramine-C6:0	Plants	TRUE	C6:0	Short								Methionine-C16:1	Microbes	TRUE	C16:1	Long						
Tyrosine-C6:0	Humans	TRUE	C6:0	Short								Methionine-C16:1	Foods	TRUE	C16:1	Long						
Tyrosine-C6:0	Microbes	TRUE	C6:0	Short								Ornithine-C16:1	Microbes	TRUE	C16:1	Long						
Tyrosine-C6:0	Foods	TRUE	C6:0	Short								Phenylalanine-C16:1	Humans	TRUE	C16:1	Long						
Tyrosine-C6:0	Plants	TRUE	C6:0	Short								Phenylalanine-C16:1	Rodents	TRUE	C16:1	Long						
Glutamic acid-C6:1	Humans	TRUE	C6:1	Short								Phenylalanine-C16:1	Microbes	TRUE	C16:1	Long						
Glutamine-C6:1	Humans	TRUE	C6:1	Short								Phenylalanine-C16:1	Foods	TRUE	C16:1	Long						
Glutamine-C6:1	Microbes	TRUE	C6:1	Short								Putrescine-C16:1	Humans	TRUE	C16:1	Long						
Histidine-C6:1	Humans	TRUE	C6:1	Short								Putrescine-C16:1	Microbes	TRUE	C16:1	Long						
Tryptophan-C6:1	Microbes	TRUE	C6:1	Short								Serine-C16:1	Humans	TRUE	C16:1	Long						
Tyramine-C6:1	Plants	TRUE	C6:1	Short								Serine-C16:1	Microbes	TRUE	C16:1	Long						
Glutamine-C6:2	Humans	TRUE	C6:2	Short								Spermidine-C16:1	Rodents	TRUE	C16:1	Long						
												Taurine-C16:1	Rodents	TRUE	C16:1	Long						
												Taurine-C16:1	Microbes	TRUE	C16:1	Long						
												Taurine-C16:1	Foods	TRUE	C16:1	Long						
												Threonine/homoserine-C16:1	Microbes	TRUE	C16:1	Long						
												Tryptamine-C16:1	Humans	TRUE	C16:1	Long						
												Tryptophan-C16:1	Microbes	TRUE	C16:1	Long						
												Tyramine-C16:1	Humans	TRUE	C16:1	Long						
												Tyramine-C16:1	Rodents	TRUE	C16:1	Long						
												Tyramine-C16:1	Microbes	TRUE	C16:1	Long						
												Tyramine-C16:1	Foods	TRUE	C16:1	Long						
												Tyramine-C16:1	Plants	TRUE	C16:1	Long						
												Tyrosine-C16:1	Rodents	TRUE	C16:1	Long						
												Tyrosine-C16:1	Microbes	TRUE	C16:1	Long						
												Tyrosine-C16:1	Foods	TRUE	C16:1	Long						
												Valine-C16:1	Humans	TRUE	C16:1	Long						
												Valine-C16:1	Rodents	TRUE	C16:1	Long						
												2-phenethylamine-C16:2	Microbes	TRUE	C16:2	Long						
												Alanine/Sarcosine-C16:2	Microbes	TRUE	C16:2	Long						
												Glycine-C16:2	Humans	TRUE	C16:2	Long						
												Leucine-C16:2	Humans	TRUE	C16:2	Long						
												Leucine-C16:2	Microbes	TRUE	C16:2	Long						
												Leucine-C16:2	Plants	TRUE	C16:2	Long						
												Glutamic acid-C16:3	Microbes	TRUE	C16:3	Long						
												Tryptamine-C16:4	Humans	TRUE	C16:4	Long						
												2-phenethylamine-C17:0	Microbes	TRUE	C17:0	Long						
												Alanine/Sarcosine-C17:0	Microbes	TRUE	C17:0	Long						
												Arginine-C17:0	Microbes	TRUE	C17:0	Long						
												Citrulline-C17:0	Microbes	TRUE	C17:0	Long						
												Glutamic acid-C17:0	Humans	TRUE	C17:0	Long						
												Glutamic acid-C17:0	Microbes	TRUE	C17:0	Long						
												Leucine-C17:0	Humans	TRUE	C17:0	Long						
												Leucine-C17:0	Microbes	TRUE	C17:0	Long						
												Lysine-C17:0	Rodents	TRUE	C17:0	Long						
												Lysine-C17:0	Microbes	TRUE	C17:0	Long						
												Phenylalanine-C17:0	Humans	TRUE	C17:0	Long						
												Phenylalanine-C17:0	Microbes	TRUE	C17:0	Long						
												Serine-C17:0	Microbes	TRUE	C17:0	Long						
												Threonine/homoserine-C17:0	Microbes	TRUE	C17:0	Long						
												Tryptamine-C17:0	Humans	TRUE	C17:0	Long						
												Tryptophan-C17:0	Microbes	TRUE	C17:0	Long						
												Tyramine-C17:0	Humans	TRUE	C17:0	Long						
												Tyramine-C17:0	Microbes	TRUE	C17:0	Long						
												2-phenethylamine-C17:1	Microbes	TRUE	C17:1	Long						
												Alanine/Sarcosine-C17:1	Microbes	TRUE	C17:1	Long						
												Arginine-C17:1	Microbes	TRUE	C17:1	Long						
												Asparagine-C17:1	Microbes	TRUE	C17:1	Long						
												Glutamic acid-C17:1	Humans	TRUE	C17:1	Long						
												Glutamic acid-C17:1	Microbes	TRUE	C17:1	Long						
												Leucine-C17:1	Humans	TRUE	C17:1	Long						
												Leucine-C17:1	Microbes	TRUE	C17:1	Long						
												Lysine-C17:1	Microbes	TRUE	C17:1	Long						
												Methionine-C17:1	Microbes	TRUE	C17:1	Long						
												Ornithine-C17:1	Microbes	TRUE	C17:1	Long						
												Phenylalanine-C17:1	Humans	TRUE	C17:1	Long						
												Phenylalanine-C17:1	Rodents	TRUE	C17:1	Long						
												Phenylalanine-C17:1	Microbes	TRUE	C17:1	Long						
												Serine-C17:1	Microbes	TRUE	C17:1	Long						
												Threonine/homoserine-C17:1	Microbes	TRUE	C17:1	Long						
												Tryptophan-C17:1	Microbes	TRUE	C17:1	Long						
												Tyramine-C17:1	Microbes	TRUE	C17:1	Long						
												Alanine/Sarcosine-C17:2	Microbes	TRUE	C17:2	Long						
												2-phenethylamine-C18:0	Foods	TRUE	C18:0	Long						
												2-phenethylamine-C18:0	Plants	TRUE	C18:0	Long						
												Alanine/Sarcosine-C18:0	Humans	TRUE	C18:0	Long						
												Alanine/Sarcosine-C18:0	Microbes	TRUE	C18:0	Long						
												Amylamine-C18:0	Humans	TRUE	C18:0	Long						
												Amylamine-C18:0	Rodents	TRUE	C18:0	Long						
												Amylamine-C18:0	Microbes	TRUE	C18:0	Long						
												Amylamine-C18:0	Foods	TRUE	C18:0	Long						
												Amylamine-C18:0	Plants	TRUE	C18:0	Long						
												Arginine-C18:0	Humans	TRUE	C18:0	Long						
												Arginine-C18:0	Rodents	TRUE	C18:0	Long						
												Arginine-C18:0	Microbes	TRUE	C18:0	Long						
												Asparagine-C18:0	Humans	TRUE	C18:0	Long						
												Asparagine-C18:0	Rodents	TRUE	C18:0	Long						
												Cadaverine-C18:0	Humans	TRUE	C18:0	Long						
												Cadaverine-C18:0	Rodents	TRUE	C18:0	Long						
												Cadaverine-C18:0	Microbes	TRUE	C18:0	Long						
												GABA-C18:0	Humans	TRUE	C18:0	Long						
												GABA-C18:0	Foods	TRUE	C18:0	Long						
												Glutamic acid-C18:0	Humans	TRUE	C18:0	Long						
												Glutamic acid-C18:0	Rodents	TRUE	C18:0	Long						
												Glutamic acid-C18:0	Microbes	TRUE	C18:0	Long						
												Glutamic acid-C18:0	Plants	TRUE	C18:0	Long						
												Glycine-C18:0	Humans	TRUE	C18:0	Long						
												Histidine-C18:0	Humans	TRUE	C18:0	Long						
												Histidine-C18:0	Microbes	TRUE	C18:0	Long						
												Leucine-C18:0	Humans	TRUE	C18:0	Long						
												Leucine-C18:0	Rodents	TRUE	C18:0	Long						
												Leucine-C18:0	Microbes	TRUE	C18:0	Long						
												Leucine-C18:0	Foods	TRUE	C18:0	Long						
												Lysine-C18:0	Humans	TRUE	C18:0	Long						
												Lysine-C18:0	Rodents	TRUE	C18:0	Long						
												Lysine-C18:0	Microbes	TRUE	C18:0	Long						
												Methionine-C18:0	Humans	TRUE	C18:0	Long						
												Methionine-C18:0	Rodents	TRUE	C18:0	Long						
												Phenylalanine-C18:0	Humans	TRUE	C18:0	Long						
												Phenylalanine-C18:0	Rodents	TRUE	C18:0	Long						
												Phenylalanine-C18:0	Microbes	TRUE	C18:0	Long						
												Phenylalanine-C18:0	Foods	TRUE	C18:0	Long						
												Putrescine-C18:0	Humans	TRUE	C18:0	Long						
												Serine-C18:0	Rodents	TRUE	C18:0	Long						
												Serine-C18:0	Microbes	TRUE	C18:0	Long						
												Serotonin-C18:0	Foods	TRUE	C18:0	Long						
												Serotonin-C18:0	Plants	TRUE	C18:0	Long						
												Threonine/homoserine-C18:0	Humans	TRUE	C18:0	Long						
												Tryptamine-C18:0	Humans	TRUE	C18:0	Long						
												Tryptophan-C18:0	Humans	TRUE	C18:0	Long						
												Tryptophan-C18:0	Rodents	TRUE	C18:0	Long						
												Tyramine-C18:0	Humans	TRUE	C18:0	Long						
												Tyramine-C18:0	Foods	TRUE	C18:0	Long						
												Tyramine-C18:0	Plants	TRUE	C18:0	Long						
												Tyrosine-C18:0	Humans	TRUE	C18:0	Long						
												Tyrosine-C18:0	Rodents	TRUE	C18:0	Long						
												Valine-C18:0	Humans	TRUE	C18:0	Long						
												Valine-C18:0	Rodents	TRUE	C18:0	Long						
												2-aminovaleric acid-C18:1	Humans	TRUE	C18:1	Long						
												2-aminovaleric acid-C18:1	Rodents	TRUE	C18:1	Long						
												2-phenethylamine-C18:1	Humans	TRUE	C18:1	Long						
												2-phenethylamine-C18:1	Rodents	TRUE	C18:1	Long						
												2-phenethylamine-C18:1	Foods	TRUE	C18:1	Long						
												Alanine/Sarcosine-C18:1	Humans	TRUE	C18:1	Long						
												Alanine/Sarcosine-C18:1	Rodents	TRUE	C18:1	Long						
												Alanine/Sarcosine-C18:1	Microbes	TRUE	C18:1	Long						
												Amylamine-C18:1	Humans	TRUE	C18:1	Long						
												Amylamine-C18:1	Rodents	TRUE	C18:1	Long						
												Amylamine-C18:1	Foods	TRUE	C18:1	Long						
												Amylamine-C18:1	Plants	TRUE	C18:1	Long						
												Arginine-C18:1	Humans	TRUE	C18:1	Long						
												Arginine-C18:1	Rodents	TRUE	C18:1	Long						
												Arginine-C18:1	Microbes	TRUE	C18:1	Long						
												Arginine-C18:1	Foods	TRUE	C18:1	Long						
												Arginine-C18:1	Plants	TRUE	C18:1	Long						
												Asparagine-C18:1	Rodents	TRUE	C18:1	Long						
												Asparagine-C18:1	Foods	TRUE	C18:1	Long						
												Asparagine-C18:1	Plants	TRUE	C18:1	Long						
												Aspartic acid-C18:1	Humans	TRUE	C18:1	Long						
												Aspartic acid-C18:1	Rodents	TRUE	C18:1	Long						
												Citrulline-C18:1	Humans	TRUE	C18:1	Long						
												Citrulline-C18:1	Rodents	TRUE	C18:1	Long						
												Citrulline-C18:1	Foods	TRUE	C18:1	Long						
												GABA-C18:1	Humans	TRUE	C18:1	Long						
												GABA-C18:1	Microbes	TRUE	C18:1	Long						
												GABA-C18:1	Foods	TRUE	C18:1	Long						
												Glutamic acid-C18:1	Humans	TRUE	C18:1	Long						
												Glutamic acid-C18:1	Rodents	TRUE	C18:1	Long						
												Glutamic acid-C18:1	Microbes	TRUE	C18:1	Long						
												Glutamic acid-C18:1	Plants	TRUE	C18:1	Long						
												Glutamine-C18:1	Humans	TRUE	C18:1	Long						
												Glutamine-C18:1	Rodents	TRUE	C18:1	Long						
												Glutamine-C18:1	Microbes	TRUE	C18:1	Long						
												Glutamine-C18:1	Foods	TRUE	C18:1	Long						
												Glycine-C18:1	Humans	TRUE	C18:1	Long						
												Glycine-C18:1	Rodents	TRUE	C18:1	Long						
												Glycine-C18:1	Microbes	TRUE	C18:1	Long						
												Glycine-C18:1	Foods	TRUE	C18:1	Long						
												Histamine-C18:1	Humans	TRUE	C18:1	Long						
												Histidine-C18:1	Humans	TRUE	C18:1	Long						
												Histidine-C18:1	Rodents	TRUE	C18:1	Long						
												Histidine-C18:1	Foods	TRUE	C18:1	Long						
												Leucine-C18:1	Humans	TRUE	C18:1	Long						
												Leucine-C18:1	Rodents	TRUE	C18:1	Long						
												Leucine-C18:1	Microbes	TRUE	C18:1	Long						
												Leucine-C18:1	Foods	TRUE	C18:1	Long						
												Lysine-C18:1	Humans	TRUE	C18:1	Long						
												Lysine-C18:1	Rodents	TRUE	C18:1	Long						
												Lysine-C18:1	Microbes	TRUE	C18:1	Long						
												Lysine-C18:1	Foods	TRUE	C18:1	Long						
												Methionine-C18:1	Humans	TRUE	C18:1	Long						
												Methionine-C18:1	Rodents	TRUE	C18:1	Long						
												Methionine-C18:1	Microbes	TRUE	C18:1	Long						
												Methionine-C18:1	Foods	TRUE	C18:1	Long						
												N-acetylcadaverine-C18:1	Humans	TRUE	C18:1	Long						
												N-acetylcadaverine-C18:1	Rodents	TRUE	C18:1	Long						
												Phenylalanine-C18:1	Humans	TRUE	C18:1	Long						
												Phenylalanine-C18:1	Rodents	TRUE	C18:1	Long						
												Phenylalanine-C18:1	Microbes	TRUE	C18:1	Long						
												Phenylalanine-C18:1	Foods	TRUE	C18:1	Long						
												Putrescine-C18:1	Humans	TRUE	C18:1	Long						
												Putrescine-C18:1	Rodents	TRUE	C18:1	Long						
												Putrescine-C18:1	Microbes	TRUE	C18:1	Long						
												Putrescine-C18:1	Foods	TRUE	C18:1	Long						
												Serine-C18:1	Humans	TRUE	C18:1	Long						
												Serine-C18:1	Rodents	TRUE	C18:1	Long						
												Serine-C18:1	Microbes	TRUE	C18:1	Long						
												Serotonin-C18:1	Humans	TRUE	C18:1	Long						
												Serotonin-C18:1	Foods	TRUE	C18:1	Long						
												Serotonin-C18:1	Plants	TRUE	C18:1	Long						
												Spermidine-C18:1	Rodents	TRUE	C18:1	Long						
												Taurine-C18:1	Humans	TRUE	C18:1	Long						
												Taurine-C18:1	Rodents	TRUE	C18:1	Long						
												Taurine-C18:1	Microbes	TRUE	C18:1	Long						
												Taurine-C18:1	Foods	TRUE	C18:1	Long						
												Threonine/homoserine-C18:1	Humans	TRUE	C18:1	Long						
												Threonine/homoserine-C18:1	Rodents	TRUE	C18:1	Long						
												Tryptamine-C18:1	Humans	TRUE	C18:1	Long						
												Tryptamine-C18:1	Microbes	TRUE	C18:1	Long						
												Tryptamine-C18:1	Foods	TRUE	C18:1	Long						
												Tryptophan-C18:1	Humans	TRUE	C18:1	Long						
												Tryptophan-C18:1	Rodents	TRUE	C18:1	Long						
												Tryptophan-C18:1	Microbes	TRUE	C18:1	Long						
												Tryptophan-C18:1	Foods	TRUE	C18:1	Long						
												Tyramine-C18:1	Humans	TRUE	C18:1	Long						
												Tyramine-C18:1	Microbes	TRUE	C18:1	Long						
												Tyramine-C18:1	Foods	TRUE	C18:1	Long						
												Tyramine-C18:1	Plants	TRUE	C18:1	Long						
												Tyrosine-C18:1	Humans	TRUE	C18:1	Long						
												Tyrosine-C18:1	Rodents	TRUE	C18:1	Long						
												Tyrosine-C18:1	Microbes	TRUE	C18:1	Long						
												Tyrosine-C18:1	Foods	TRUE	C18:1	Long						
												Valine-C18:1	Humans	TRUE	C18:1	Long						
												Valine-C18:1	Rodents	TRUE	C18:1	Long						
												Valine-C18:1	Microbes	TRUE	C18:1	Long						
												Valine-C18:1	Foods	TRUE	C18:1	Long						
												2-aminovaleric acid-C18:2	Humans	TRUE	C18:2	Long						
												2-aminovaleric acid-C18:2	Rodents	TRUE	C18:2	Long						
												2-aminovaleric acid-C18:2	Microbes	TRUE	C18:2	Long						
												2-phenethylamine-C18:2	Humans	TRUE	C18:2	Long						
												2-phenethylamine-C18:2	Rodents	TRUE	C18:2	Long						
												2-phenethylamine-C18:2	Microbes	TRUE	C18:2	Long						
												2-phenethylamine-C18:2	Foods	TRUE	C18:2	Long						
												2-phenethylamine-C18:2	Plants	TRUE	C18:2	Long						
												Alanine/Sarcosine-C18:2	Humans	TRUE	C18:2	Long						
												Alanine/Sarcosine-C18:2	Rodents	TRUE	C18:2	Long						
												Alanine/Sarcosine-C18:2	Microbes	TRUE	C18:2	Long						
												Amylamine-C18:2	Humans	TRUE	C18:2	Long						
												Amylamine-C18:2	Rodents	TRUE	C18:2	Long						
												Amylamine-C18:2	Foods	TRUE	C18:2	Long						
												Amylamine-C18:2	Plants	TRUE	C18:2	Long						
												Arginine-C18:2	Humans	TRUE	C18:2	Long						
												Arginine-C18:2	Rodents	TRUE	C18:2	Long						
												Arginine-C18:2	Microbes	TRUE	C18:2	Long						
												Arginine-C18:2	Foods	TRUE	C18:2	Long						
												Asparagine-C18:2	Rodents	TRUE	C18:2	Long						
												Asparagine-C18:2	Microbes	TRUE	C18:2	Long						
												Asparagine-C18:2	Foods	TRUE	C18:2	Long						
												Asparagine-C18:2	Plants	TRUE	C18:2	Long						
												Aspartic acid-C18:2	Humans	TRUE	C18:2	Long						
												Aspartic acid-C18:2	Rodents	TRUE	C18:2	Long						
												Aspartic acid-C18:2	Plants	TRUE	C18:2	Long						
												Citrulline-C18:2	Humans	TRUE	C18:2	Long						
												Citrulline-C18:2	Rodents	TRUE	C18:2	Long						
												Citrulline-C18:2	Microbes	TRUE	C18:2	Long						
												Citrulline-C18:2	Foods	TRUE	C18:2	Long						
												GABA-C18:2	Humans	TRUE	C18:2	Long						
												GABA-C18:2	Rodents	TRUE	C18:2	Long						
												GABA-C18:2	Microbes	TRUE	C18:2	Long						
												GABA-C18:2	Foods	TRUE	C18:2	Long						
												Glutamine-C18:2	Humans	TRUE	C18:2	Long						
												Glutamine-C18:2	Rodents	TRUE	C18:2	Long						
												Glutamine-C18:2	Microbes	TRUE	C18:2	Long						
												Glutamine-C18:2	Foods	TRUE	C18:2	Long						
												Glutamine-C18:2	Plants	TRUE	C18:2	Long						
												Histidine-C18:2	Humans	TRUE	C18:2	Long						
												Histidine-C18:2	Rodents	TRUE	C18:2	Long						
												Histidine-C18:2	Microbes	TRUE	C18:2	Long						
												Histidine-C18:2	Foods	TRUE	C18:2	Long						
												Histidine-C18:2	Plants	TRUE	C18:2	Long						
												Leucine-C18:2	Humans	TRUE	C18:2	Long						
												Leucine-C18:2	Rodents	TRUE	C18:2	Long						
												Leucine-C18:2	Microbes	TRUE	C18:2	Long						
												Leucine-C18:2	Foods	TRUE	C18:2	Long						
												Lysine-C18:2	Humans	TRUE	C18:2	Long						
												Lysine-C18:2	Rodents	TRUE	C18:2	Long						
												Lysine-C18:2	Microbes	TRUE	C18:2	Long						
												Lysine-C18:2	Foods	TRUE	C18:2	Long						
												Methionine-C18:2	Humans	TRUE	C18:2	Long						
												Methionine-C18:2	Rodents	TRUE	C18:2	Long						
												Methionine-C18:2	Microbes	TRUE	C18:2	Long						
												Methionine-C18:2	Foods	TRUE	C18:2	Long						
												Phenylalanine-C18:2	Humans	TRUE	C18:2	Long						
												Phenylalanine-C18:2	Rodents	TRUE	C18:2	Long						
												Phenylalanine-C18:2	Microbes	TRUE	C18:2	Long						
												Phenylalanine-C18:2	Foods	TRUE	C18:2	Long						
												Putrescine-C18:2	Humans	TRUE	C18:2	Long						
												Putrescine-C18:2	Foods	TRUE	C18:2	Long						
												Serine-C18:2	Humans	TRUE	C18:2	Long						
												Serine-C18:2	Rodents	TRUE	C18:2	Long						
												Serine-C18:2	Microbes	TRUE	C18:2	Long						
												Serine-C18:2	Foods	TRUE	C18:2	Long						
												Serotonin-C18:2	Foods	TRUE	C18:2	Long						
												Serotonin-C18:2	Plants	TRUE	C18:2	Long						
												Spermidine-C18:2	Rodents	TRUE	C18:2	Long						
												Taurine-C18:2	Humans	TRUE	C18:2	Long						
												Taurine-C18:2	Rodents	TRUE	C18:2	Long						
												Taurine-C18:2	Microbes	TRUE	C18:2	Long						
												Taurine-C18:2	Foods	TRUE	C18:2	Long						
												Threonine/homoserine-C18:2	Humans	TRUE	C18:2	Long						
												Threonine/homoserine-C18:2	Rodents	TRUE	C18:2	Long						
												Threonine/homoserine-C18:2	Microbes	TRUE	C18:2	Long						
												Threonine/homoserine-C18:2	Plants	TRUE	C18:2	Long						
												Tryptamine-C18:2	Humans	TRUE	C18:2	Long						
												Tryptophan-C18:2	Humans	TRUE	C18:2	Long						
												Tryptophan-C18:2	Rodents	TRUE	C18:2	Long						
												Tryptophan-C18:2	Microbes	TRUE	C18:2	Long						
												Tryptophan-C18:2	Foods	TRUE	C18:2	Long						
												Tryptophan-C18:2	Plants	TRUE	C18:2	Long						
												Tyramine-C18:2	Humans	TRUE	C18:2	Long						
												Tyramine-C18:2	Rodents	TRUE	C18:2	Long						
												Tyramine-C18:2	Microbes	TRUE	C18:2	Long						
												Tyramine-C18:2	Foods	TRUE	C18:2	Long						
												Tyramine-C18:2	Plants	TRUE	C18:2	Long						
												Tyrosine-C18:2	Humans	TRUE	C18:2	Long						
												Tyrosine-C18:2	Rodents	TRUE	C18:2	Long						
												Tyrosine-C18:2	Microbes	TRUE	C18:2	Long						
												Tyrosine-C18:2	Foods	TRUE	C18:2	Long						
												Valine-C18:2	Humans	TRUE	C18:2	Long						
												Valine-C18:2	Rodents	TRUE	C18:2	Long						
												Valine-C18:2	Microbes	TRUE	C18:2	Long						
												Valine-C18:2	Foods	TRUE	C18:2	Long						
												2-aminovaleric acid-C18:3	Humans	TRUE	C18:3	Long						
												2-aminovaleric acid-C18:3	Plants	TRUE	C18:3	Long						
												2-phenethylamine-C18:3	Microbes	TRUE	C18:3	Long						
												2-phenethylamine-C18:3	Plants	TRUE	C18:3	Long						
												Arginine-C18:3	Rodents	TRUE	C18:3	Long						
												Arginine-C18:3	Foods	TRUE	C18:3	Long						
												Arginine-C18:3	Plants	TRUE	C18:3	Long						
												Asparagine-C18:3	Foods	TRUE	C18:3	Long						
												Asparagine-C18:3	Plants	TRUE	C18:3	Long						
												GABA-C18:3	Microbes	TRUE	C18:3	Long						
												GABA-C18:3	Foods	TRUE	C18:3	Long						
												GABA-C18:3	Plants	TRUE	C18:3	Long						
												Histidine-C18:3	Rodents	TRUE	C18:3	Long						
												Leucine-C18:3	Humans	TRUE	C18:3	Long						
												Leucine-C18:3	Rodents	TRUE	C18:3	Long						
												Leucine-C18:3	Microbes	TRUE	C18:3	Long						
												Leucine-C18:3	Foods	TRUE	C18:3	Long						
												Leucine-C18:3	Plants	TRUE	C18:3	Long						
												Lysine-C18:3	Rodents	TRUE	C18:3	Long						
												Lysine-C18:3	Foods	TRUE	C18:3	Long						
												Methionine-C18:3	Rodents	TRUE	C18:3	Long						
												Methionine-C18:3	Foods	TRUE	C18:3	Long						
												Phenylalanine-C18:3	Humans	TRUE	C18:3	Long						
												Phenylalanine-C18:3	Rodents	TRUE	C18:3	Long						
												Phenylalanine-C18:3	Foods	TRUE	C18:3	Long						
												Phenylalanine-C18:3	Plants	TRUE	C18:3	Long						
												Taurine-C18:3	Rodents	TRUE	C18:3	Long						
												Taurine-C18:3	Microbes	TRUE	C18:3	Long						
												Taurine-C18:3	Foods	TRUE	C18:3	Long						
												Threonine/homoserine-C18:3	Plants	TRUE	C18:3	Long						
												Tryptophan-C18:3	Humans	TRUE	C18:3	Long						
												Tryptophan-C18:3	Rodents	TRUE	C18:3	Long						
												Tryptophan-C18:3	Foods	TRUE	C18:3	Long						
												Tryptophan-C18:3	Plants	TRUE	C18:3	Long						
												Tyramine-C18:3	Humans	TRUE	C18:3	Long						
												Tyramine-C18:3	Plants	TRUE	C18:3	Long						
												Tyrosine-C18:3	Humans	TRUE	C18:3	Long						
												Tyrosine-C18:3	Rodents	TRUE	C18:3	Long						
												Tyrosine-C18:3	Foods	TRUE	C18:3	Long						
												Tyrosine-C18:3	Plants	TRUE	C18:3	Long						
												Valine-C18:3	Humans	TRUE	C18:3	Long						
												Valine-C18:3	Foods	TRUE	C18:3	Long						
												Valine-C18:3	Plants	TRUE	C18:3	Long						
												Leucine-C18:4	Rodents	TRUE	C18:4	Long						
												Leucine-C18:4	Plants	TRUE	C18:4	Long						
												Tyramine-C18:4	Foods	TRUE	C18:4	Long						
												Tyramine-C18:4	Plants	TRUE	C18:4	Long						
												Tryptamine-C19:0	Rodents	TRUE	C19:0	Long						
												2-phenethylamine-C19:1	Microbes	TRUE	C19:1	Long						
												Alanine/Sarcosine-C19:1	Microbes	TRUE	C19:1	Long						
												GABA-C19:1	Humans	TRUE	C19:1	Long						
												Glutamic acid-C19:1	Humans	TRUE	C19:1	Long						
												Leucine-C19:1	Humans	TRUE	C19:1	Long						
												Leucine-C19:1	Microbes	TRUE	C19:1	Long						
												Phenylalanine-C19:1	Humans	TRUE	C19:1	Long						
												Phenylalanine-C19:1	Rodents	TRUE	C19:1	Long						
												Phenylalanine-C19:1	Microbes	TRUE	C19:1	Long						
