Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail
N-acetylornithine-C2:0	Humans	TRUE	C2:0	Short		Tyrosine-C10:0	Humans	TRUE	C10:0	Medium		Serine-C14:0	Humans	TRUE	C14:0	Long		Serotonin-C25:0	Plants	TRUE	C25:0	Very long
N-acetylornithine-C2:0	Rodents	TRUE	C2:0	Short		Tyrosine-C10:0	Microbes	TRUE	C10:0	Medium		Serine-C14:0	Rodents	TRUE	C14:0	Long		Tryptamine-C25:0	Foods	TRUE	C25:0	Very long
N-acetylputrescine-C2:0	Humans	TRUE	C2:0	Short		Tyrosine-C10:0	Foods	TRUE	C10:0	Medium		Serine-C14:0	Microbes	TRUE	C14:0	Long		Tyramine-C25:0	Foods	TRUE	C25:0	Very long
N-acetylputrescine-C2:0	Rodents	TRUE	C2:0	Short		Tyrosine-C10:0	Plants	TRUE	C10:0	Medium		Serine-C14:0	Plants	TRUE	C14:0	Long		Tyramine-C25:0	Plants	TRUE	C25:0	Very long
N-acetylputrescine-C2:0	Plants	TRUE	C2:0	Short		Valine-C10:0	Humans	TRUE	C10:0	Medium		Threonine/homoserine-C14:0	Humans	TRUE	C14:0	Long		Dopamine-C26:0	Humans	TRUE	C26:0	Very long
Phenylalanine-C2:0	Humans	TRUE	C2:0	Short		Valine-C10:0	Microbes	TRUE	C10:0	Medium		Threonine/homoserine-C14:0	Microbes	TRUE	C14:0	Long		Dopamine-C26:0	Foods	TRUE	C26:0	Very long
Phenylalanine-C2:0	Rodents	TRUE	C2:0	Short		2-phenethylamine-C10:1	Microbes	TRUE	C10:1	Medium		Tryptamine-C14:0	Humans	TRUE	C14:0	Long		Dopamine-C26:0	Plants	TRUE	C26:0	Very long
Phenylalanine-C2:0	Microbes	TRUE	C2:0	Short		Amylamine-C10:1	Foods	TRUE	C10:1	Medium		Tryptophan-C14:0	Humans	TRUE	C14:0	Long		Serotonin-C26:0	Foods	TRUE	C26:0	Very long
Phenylalanine-C2:0	Foods	TRUE	C2:0	Short		Amylamine-C10:1	Plants	TRUE	C10:1	Medium		Tryptophan-C14:0	Microbes	TRUE	C14:0	Long		Serotonin-C26:0	Plants	TRUE	C26:0	Very long
Phenylalanine-C2:0	Plants	TRUE	C2:0	Short		Glutamine-C10:1	Humans	TRUE	C10:1	Medium		Tyramine-C14:0	Humans	TRUE	C14:0	Long		Tryptamine-C26:0	Foods	TRUE	C26:0	Very long
Putrescine-C2:0	Humans	TRUE	C2:0	Short		Glutamine-C10:1	Microbes	TRUE	C10:1	Medium		Tyrosine-C14:0	Humans	TRUE	C14:0	Long		Tryptophan-C26:0	Foods	TRUE	C26:0	Very long
Putrescine-C2:0	Rodents	TRUE	C2:0	Short		Glutathione-C10:1	Foods	TRUE	C10:1	Medium		Tyrosine-C14:0	Rodents	TRUE	C14:0	Long		Tryptophan-C26:0	Plants	TRUE	C26:0	Very long
Putrescine-C2:0	Microbes	TRUE	C2:0	Short		Histidine-C10:1	Foods	TRUE	C10:1	Medium		Tyrosine-C14:0	Microbes	TRUE	C14:0	Long		Tyramine-C26:0	Foods	TRUE	C26:0	Very long
Serine-C2:0	Plants	TRUE	C2:0	Short		Leucine-C10:1	Humans	TRUE	C10:1	Medium		Tyrosine-C14:0	Foods	TRUE	C14:0	Long		Tyramine-C26:0	Plants	TRUE	C26:0	Very long
Serotonin-C2:0	Humans	TRUE	C2:0	Short		Leucine-C10:1	Microbes	TRUE	C10:1	Medium		Alanine/Sarcosine-C14:1	Microbes	TRUE	C14:1	Long		Serotonin-C26:1	Foods	TRUE	C26:1	Very long
Serotonin-C2:0	Rodents	TRUE	C2:0	Short		Phenylalanine-C10:1	Microbes	TRUE	C10:1	Medium		Arginine-C14:1	Rodents	TRUE	C14:1	Long		Dopamine-C27:0	Foods	TRUE	C27:0	Very long
