filename	ATTRIBUTE_SampleType	ATTRIBUTE_Bacteria_code	ATTRIBUTE_Bacteria_name	time	ATTRIBUTE_Bacteria
Hb_1_0h_100H2O.mzML	Monoculture	Hb_0h	Holdemanella_biformis_DSM_3989	0h	Holdemanella_biformis_DSM_3989_0h
Hb_1_72h_100H2O.mzML	Monoculture	Hb_72h	Holdemanella_biformis_DSM_3989	72h	Holdemanella_biformis_DSM_3989_72h
Hb_2_0h_100H2O.mzML	Monoculture	Hb_0h	Holdemanella_biformis_DSM_3989	0h	Holdemanella_biformis_DSM_3989_0h
Hb_2_72h_100H2O.mzML	Monoculture	Hb_72h	Holdemanella_biformis_DSM_3989	72h	Holdemanella_biformis_DSM_3989_72h
Hb_3_0h_100H2O.mzML	Monoculture	Hb_0h	Holdemanella_biformis_DSM_3989	0h	Holdemanella_biformis_DSM_3989_0h
Hb_3_72h_100H2O.mzML	Monoculture	Hb_72h	Holdemanella_biformis_DSM_3989	72h	Holdemanella_biformis_DSM_3989_72h
Hb_4_0h_100H2O.mzML	Monoculture	Hb_0h	Holdemanella_biformis_DSM_3989	0h	Holdemanella_biformis_DSM_3989_0h
Hb_4_72h_100H2O.mzML	Monoculture	Hb_72h	Holdemanella_biformis_DSM_3989	72h	Holdemanella_biformis_DSM_3989_72h
Me_1_0h_100H2O.mzML	Monoculture	Me_0h	Megasphaera_sp._DSMZ_102144	0h	Megasphaera_sp._DSMZ_102144_0h
Me_1_72h_100H2O.mzML	Monoculture	Me_72h	Megasphaera_sp._DSMZ_102144	72h	Megasphaera_sp._DSMZ_102144_72h
Me_2_0h_100H2O.mzML	Monoculture	Me_0h	Megasphaera_sp._DSMZ_102144	0h	Megasphaera_sp._DSMZ_102144_0h
Me_2_72h_100H2O.mzML	Monoculture	Me_72h	Megasphaera_sp._DSMZ_102144	72h	Megasphaera_sp._DSMZ_102144_72h
Me_3_0h_100H2O.mzML	Monoculture	Me_0h	Megasphaera_sp._DSMZ_102144	0h	Megasphaera_sp._DSMZ_102144_0h
Me_3_72h_100H2O.mzML	Monoculture	Me_72h	Megasphaera_sp._DSMZ_102144	72h	Megasphaera_sp._DSMZ_102144_72h
Me_4_0h_100H2O.mzML	Monoculture	Me_0h	Megasphaera_sp._DSMZ_102144	0h	Megasphaera_sp._DSMZ_102144_0h
Me_4_72h_100H2O.mzML	Monoculture	Me_72h	Megasphaera_sp._DSMZ_102144	72h	Megasphaera_sp._DSMZ_102144_72h
Pb_1_0h_100H2O.mzML	Monoculture	Pb_0h	Prevotella_buccae_D17	0h	Prevotella_buccae_D17_0h
Pb_1_72h_100H2O.mzML	Monoculture	Pb_72h	Prevotella_buccae_D17	72h	Prevotella_buccae_D17_72h
Pb_2_0h_100H2O.mzML	Monoculture	Pb_0h	Prevotella_buccae_D17	0h	Prevotella_buccae_D17_0h
Pb_2_72h_100H2O.mzML	Monoculture	Pb_72h	Prevotella_buccae_D17	72h	Prevotella_buccae_D17_72h
Pb_3_0h_100H2O.mzML	Monoculture	Pb_0h	Prevotella_buccae_D17	0h	Prevotella_buccae_D17_0h
Pb_3_72h_100H2O.mzML	Monoculture	Pb_72h	Prevotella_buccae_D17	72h	Prevotella_buccae_D17_72h
Pb_4_0h_100H2O.mzML	Monoculture	Pb_0h	Prevotella_buccae_D17	0h	Prevotella_buccae_D17_0h
Pb_4_72h_100H2O.mzML	Monoculture	Pb_72h	Prevotella_buccae_D17	72h	Prevotella_buccae_D17_72h
Ri_1_0h_100H2O.mzML	Monoculture	Ri_0h	Roseburia_inulinivorans_DSM_16841	0h	Roseburia_inulinivorans_DSM_16841_0h
Ri_1_72h_100H2O.mzML	Monoculture	Ri_72h	Roseburia_inulinivorans_DSM_16841	72h	Roseburia_inulinivorans_DSM_16841_72h
Ri_2_0h_100H2O.mzML	Monoculture	Ri_0h	Roseburia_inulinivorans_DSM_16841	0h	Roseburia_inulinivorans_DSM_16841_0h
Ri_2_72h_100H2O.mzML	Monoculture	Ri_72h	Roseburia_inulinivorans_DSM_16841	72h	Roseburia_inulinivorans_DSM_16841_72h
Ri_3_0h_100H2O.mzML	Monoculture	Ri_0h	Roseburia_inulinivorans_DSM_16841	0h	Roseburia_inulinivorans_DSM_16841_0h
Ri_3_72h_100H2O.mzML	Monoculture	Ri_72h	Roseburia_inulinivorans_DSM_16841	72h	Roseburia_inulinivorans_DSM_16841_72h
Ri_4_0h_100H2O.mzML	Monoculture	Ri_0h	Roseburia_inulinivorans_DSM_16841	0h	Roseburia_inulinivorans_DSM_16841_0h
Ri_4_72h_100H2O.mzML	Monoculture	Ri_72h	Roseburia_inulinivorans_DSM_16841	72h	Roseburia_inulinivorans_DSM_16841_72h
sixmix_1_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_1_preinjection_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_2_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_3_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_4_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_5_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_6_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_7_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_8_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_9_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_10_LC1.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_11_LC1_100H2O.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
sixmix_12_LC1_100H2O.mzML	Blank_QC	Blank_QC	Blank_QC	Blank_QC	Blank_QC
St_1_0h_100H2O.mzML	Monoculture	St_0h	Streptococcus_thermophilus_LMD-9	0h	Streptococcus_thermophilus_LMD-9_0h
St_1_72h_100H2O.mzML	Monoculture	St_72h	Streptococcus_thermophilus_LMD-9	72h	Streptococcus_thermophilus_LMD-9_72h
St_2_0h_100H2O.mzML	Monoculture	St_0h	Streptococcus_thermophilus_LMD-9	0h	Streptococcus_thermophilus_LMD-9_0h
St_2_72h_100H2O.mzML	Monoculture	St_72h	Streptococcus_thermophilus_LMD-9	72h	Streptococcus_thermophilus_LMD-9_72h
St_3_0h_100H2O.mzML	Monoculture	St_0h	Streptococcus_thermophilus_LMD-9	0h	Streptococcus_thermophilus_LMD-9_0h
St_3_72h_100H2O.mzML	Monoculture	St_72h	Streptococcus_thermophilus_LMD-9	72h	Streptococcus_thermophilus_LMD-9_72h
St_4_0h_100H2O.mzML	Monoculture	St_0h	Streptococcus_thermophilus_LMD-9	0h	Streptococcus_thermophilus_LMD-9_0h
St_4_72h_100H2O.mzML	Monoculture	St_72h	Streptococcus_thermophilus_LMD-9	72h	Streptococcus_thermophilus_LMD-9_72h
