filename	ATTRIBUTE_SampleType	ATTRIBUTE_ADDGroup
Plate17_60370_Soil_BC7_01_28382.mzXML	Soil	early
Plate8_25736_Skin_GH9_01_27432.mzXML	Skin	early
Plate10_25740_Soil_BC11_01_27747.mzXML	Soil	early
Plate2_55400_Skin_GH5_01_26435.mzXML	Skin	early
Plate18_55404_Soil_GB2_01_28515.mzXML	Soil	early
Plate2_64566_Skin_GF8_01_26409.mzXML	Skin	early
Plate10_64570_Soil_BA10_01_27718.mzXML	Soil	early
Plate3_64760_Skin_GD11_01_26495.mzXML	Skin	early
Plate12_64764_Soil_GC7_01_27992.mzXML	Soil	early
Plate3_54524_Skin_GE5_01_26501.mzXML	Skin	early
Plate17_54528_Soil_BC3_01_28377.mzXML	Soil	early
Plate2_62008_Skin_GG6_01_26421.mzXML	Skin	early
Plate13_62012_Soil_GH5_01_27573.mzXML	Soil	early
Plate7_45860_Skin_GD4_01_27059.mzXML	Skin	active
Plate13_45864_Soil_GB11_01_27496.mzXML	Soil	active
Plate5_45718_Skin_GF6_01_26642.mzXML	Skin	active
Plate14_45722_Soil_BH2_01_27936.mzXML	Soil	active
Plate7_45556_Skin_GC2_01_27043.mzXML	Skin	active
Plate11_45560_Soil_GB8_01_27613.mzXML	Soil	active
Plate7_60534_Skin_GC11_01_27053.mzXML	Skin	active
Plate11_60538_Soil_GH8_01_27699.mzXML	Soil	active
Plate6_55220_Skin_GA3_01_26703.mzXML	Skin	active
Plate16_55224_Soil_GF4_01_28288.mzXML	Soil	active
Plate1_43846_Skin_GA5_01_26118.mzXML	Skin	active
Plate2_43684_Skin_GA10_01_26341.mzXML	Skin	active
Plate2_44046_Skin_GA11_01_26342.mzXML	Skin	active
Plate11_43688_Soil_GG2_01_27677.mzXML	Soil	active
Plate16_43850_Soil_GE8_01_28278.mzXML	Soil	active
Plate16_44050_Soil_GF7_01_28292.mzXML	Soil	active
Plate4_64962_Skin_GC3_01_27232.mzXML	Skin	active
Plate15_64966_Soil_BB9_01_28114.mzXML	Soil	active
Plate2_43484_Skin_GD7_01_26380.mzXML	Skin	active
Plate11_43488_Soil_GG1_01_27676.mzXML	Soil	active
Plate8_54826_Skin_GD1_01_27365.mzXML	Skin	active
Plate6_55062_Skin_GH8_01_26888.mzXML	Skin	advanced
Plate7_55076_Skin_GA10_01_27024.mzXML	Skin	advanced
Plate17_54830_Soil_BA1_01_28346.mzXML	Soil	active
Plate4_45198_Skin_GA6_01_27207.mzXML	Skin	active
Plate18_45206_Soil_GC1_01_28528.mzXML	Soil	active
Plate4_45356_Skin_GB1_01_27216.mzXML	Skin	active
Plate4_54664_Skin_GG7_01_27294.mzXML	Skin	active
Plate17_45364_Soil_BD5_01_28393.mzXML	Soil	active
Plate17_54672_Soil_BH10_01_28460.mzXML	Soil	active
Plate4_60728_Skin_GC6_01_27235.mzXML	Skin	active
Plate4_60928_Skin_GC2_01_27231.mzXML	Skin	active
Plate14_60732_Soil_BF5_01_27910.mzXML	Soil	active
Plate14_60932_Soil_BG7_01_27927.mzXML	Soil	active
Plate15_61688_Soil_BH5_01_28194.mzXML	Soil	active
Plate8_61290_Skin_GE11_01_27390.mzXML	Skin	active
Plate16_61294_Soil_GA1_01_28213.mzXML	Soil	active
Plate8_61484_Skin_GD8_01_27373.mzXML	Skin	active
Plate16_61488_Soil_GD4_01_28259.mzXML	Soil	active
Plate4_61054_Skin_GD5_01_27249.mzXML	Skin	active
Plate15_61058_Soil_BD2_01_28134.mzXML	Soil	active
Plate1_43304_Skin_GF8_01_26281.mzXML	Skin	active
Plate12_43308_Soil_GE4_01_28016.mzXML	Soil	active
Plate5_64206_Skin_Rerun_GF1_01_26637.mzXML	Skin	early
Plate14_64210_Soil_BD10_01_27888.mzXML	Soil	early
Plate8_25254_Skin_GF11_01_27404.mzXML	Skin	early
Plate10_25258_Soil_BC10_01_27746.mzXML	Soil	early
Plate9_25448_Skin_GA11_01_26949.mzXML	Skin	early
Plate10_25452_Soil_BD5_01_27754.mzXML	Soil	early
Plate4_65156_Skin_GA5_01_27206.mzXML	Skin	early
Plate16_65160_Soil_GA4_01_28216.mzXML	Soil	early
Plate1_25844_Skin_GE7_01_26266.mzXML	Skin	early
Plate13_25848_Soil_GD6_01_27517.mzXML	Soil	early
Plate4_63700_Skin_GA4_01_27205.mzXML	Skin	active
Plate15_63704_Soil_BE9_01_28156.mzXML	Soil	active
Plate3_60382_Skin_GC4_01_26476.mzXML	Skin	early
Plate18_60386_Soil_GD5_01_28546.mzXML	Soil	early
Plate1_25756_Skin_GH2_01_26302.mzXML	Skin	early
Plate10_25760_Soil_BE3_01_27766.mzXML	Soil	early
Plate2_64580_Skin_GH11_01_26442.mzXML	Skin	early
Plate10_64584_Soil_BC9_01_27745.mzXML	Soil	early
Plate3_64386_Skin_GC10_01_26482.mzXML	Skin	early
Plate12_64390_Soil_GC1_01_27986.mzXML	Soil	early
Plate3_64780_Skin_GH6_01_26544.mzXML	Skin	early
Plate11_64784_Soil_GB7_01_27612.mzXML	Soil	early
Plate3_55420_Skin_GF5_01_26517.mzXML	Skin	early
Plate17_55424_Soil_BG9_01_28443.mzXML	Soil	early
Plate3_54511_Skin_GH1_01_26539.mzXML	Skin	early
Plate17_54515_Soil_BD11_01_28401.mzXML	Soil	early
Plate3_61990_Skin_GE8_01_26504.mzXML	Skin	early
Plate18_61994_Soil_GC11_01_28539.mzXML	Soil	early
Plate6_45880_Skin_GG1_01_26794.mzXML	Skin	active
Plate13_45884_Soil_GD1_01_27469.mzXML	Soil	active
Plate9_45728_Skin_GA2_01_26938.mzXML	Skin	active
Plate15_45746_Soil_BB10_01_28115.mzXML	Soil	active
Plate7_60548_Skin_GG11_01_27110.mzXML	Skin	active
Plate11_60552_Soil_GD3_01_27635.mzXML	Soil	active
Plate7_45538_Skin_GA6_01_27019.mzXML	Skin	active
Plate11_45542_Soil_GC9_01_27628.mzXML	Soil	active
Plate1_43504_Skin_GC7_01_26316.mzXML	Skin	active
Plate10_43508_Soil_BD6_01_27755.mzXML	Soil	active
Plate6_54846_Skin_Rerun_GC4_01_26896.mzXML	Skin	active
Plate7_55096_Skin_GF9_01_27093.mzXML	Skin	advanced
Plate16_54850_Soil_GG5_01_28303.mzXML	Soil	active
Plate7_55078_Skin_GH1_01_27113.mzXML	Skin	advanced
Plate1_43666_Skin_GE9_01_26268.mzXML	Skin	active
Plate1_43866_Skin_GD7_01_26253.mzXML	Skin	active
Plate1_44060_Skin_GC8_01_26317.mzXML	Skin	active
Plate13_43670_Soil_GA9_01_27480.mzXML	Soil	active
Plate13_43870_Soil_GF6_01_27545.mzXML	Soil	active
Plate13_44064_Soil_GE7_01_27533.mzXML	Soil	active
Plate4_45212_Skin_GE5_01_27263.mzXML	Skin	active
Plate6_45376_Skin_Rerun_GF8_01_26904.mzXML	Skin	active
Plate17_45384_Soil_BC2_01_28376.mzXML	Soil	active
Plate18_45220_Soil_GA7_01_28505.mzXML	Soil	active
Plate7_55240_Skin_GD2_01_27057.mzXML	Skin	active
