filename	SampleType	Mouse_group	Bacteria	BodyPart	Bacteria_Family	Bacteria_Order	Bacteria_Class	Bacteria_Phyllum
Blank_PlateC_RowD_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowD_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowD_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowE_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowE_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowE_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowF_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowF_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowF_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowG_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowG_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowG_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowH_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowH_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowH_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowA_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowA_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowA_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowB_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowB_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowB_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowC_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowC_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowC_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowD_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowD_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowD_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowE_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowE_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateD_RowE_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Diet_blank-1_(5k67).mzML	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank
Diet_blank-2_(5k67).mzML	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank
