ATTRIBUTE_Bacteria	filename	Histamine-C2:0 (µM)	Histamine-C3:0 (µM)
Megasphaera sp. DSMZ 102144 (0h)	Me_3_0h_100H2O.mzML	0	0
Megasphaera sp. DSMZ 102144 (0h)	Me_4_0h_100H2O.mzML	0	0
Megasphaera sp. DSMZ 102144 (72h)	Me_1_72h_100H2O.mzML	0	0
Megasphaera sp. DSMZ 102144 (72h)	Me_2_72h_100H2O.mzML	0	0
Megasphaera sp. DSMZ 102144 (72h)	Me_3_72h_100H2O.mzML	0	0
Megasphaera sp. DSMZ 102144 (72h)	Me_4_72h_100H2O.mzML	0	0
Prevotella buccae D17 (0h)	Pb_1_0h_100H2O.mzML	0	0
Prevotella buccae D17 (0h)	Pb_2_0h_100H2O.mzML	0	0
Prevotella buccae D17 (0h)	Pb_3_0h_100H2O.mzML	0	0
Prevotella buccae D17 (0h)	Pb_4_0h_100H2O.mzML	0	0
Prevotella buccae D17 (72h)	Pb_1_72h_100H2O.mzML	0.550837745	0.341639802
Prevotella buccae D17 (72h)	Pb_2_72h_100H2O.mzML	0.408128918	0.364378784
Prevotella buccae D17 (72h)	Pb_3_72h_100H2O.mzML	0.405556728	0.376424677
Prevotella buccae D17 (72h)	Pb_4_72h_100H2O.mzML	0.302139257	0.340555615
Roseburia inulinivorans DSM 16841 (0h)	Ri_1_0h_100H2O.mzML	0	0
Roseburia inulinivorans DSM 16841 (0h)	Ri_2_0h_100H2O.mzML	0	0
Roseburia inulinivorans DSM 16841 (0h)	Ri_3_0h_100H2O.mzML	0	0
Roseburia inulinivorans DSM 16841 (0h)	Ri_4_0h_100H2O.mzML	0	0
Roseburia inulinivorans DSM 16841 (72h)	Ri_1_72h_100H2O.mzML	0	0
Roseburia inulinivorans DSM 16841 (72h)	Ri_2_72h_100H2O.mzML	0	0
Roseburia inulinivorans DSM 16841 (72h)	Ri_3_72h_100H2O.mzML	0	0
Roseburia inulinivorans DSM 16841 (72h)	Ri_4_72h_100H2O.mzML	0	0
Streptococcus thermophilus LMD-9 (0h)	St_1_0h_100H2O.mzML	0	0
Streptococcus thermophilus LMD-9 (0h)	St_2_0h_100H2O.mzML	0	0
Streptococcus thermophilus LMD-9 (0h)	St_3_0h_100H2O.mzML	0	0
Streptococcus thermophilus LMD-9 (0h)	St_4_0h_100H2O.mzML	0	0
Streptococcus thermophilus LMD-9 (72h)	St_1_72h_100H2O.mzML	0	0
Streptococcus thermophilus LMD-9 (72h)	St_2_72h_100H2O.mzML	0	0
Streptococcus thermophilus LMD-9 (72h)	St_3_72h_100H2O.mzML	0	0
Streptococcus thermophilus LMD-9 (72h)	St_4_72h_100H2O.mzML	0	0
