ATTRIBUTE_antibiotics_YN	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
-	compound	Putrescine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Valine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Methionine-C2:0	Phenylalanine-C2:0	3-methylhistidine-C2:0	Leucine-C5:0	Phenylalanine-C4:0	Tyrosine-C5:0	Amylamine-C16:0	Asparagine-C14:0	Amylamine-C18:2	Putrescine-C18:2	Amylamine-C18:1	Amylamine-C18:0	Valine-C16:0	2-phenethylamine-C16:0	Spermidine-C16:1	Spermidine-C16:0	Leucine-C16:0	Valine-C18:2	Valine-C18:1	2-phenethylamine-C18:2	Lysine-C16:0	2-phenethylamine-C18:1	Spermidine-C18:2	Spermidine-C18:1	Spermidine-C18:1	Leucine-C18:2	Aspartic acid-C18:2	Leucine-C18:1	Aspartic acid-C18:1	Leucine-C18:0	Phenylalanine-C16:0	Lysine-C18:1	Lysine-C18:1	Arginine-C16:0	Methionine-C18:1	Leucine-C20:3	Leucine-C20:2	Leucine-C20:1	Phenylalanine-C18:2	Phenylalanine-C18:1	Phenylalanine-C18:0	Tyrosine-C18:2	Tyrosine-C18:1	Phenylalanine-C20:3	Tryptophan-C18:2
No	SS363_RG12_01_7723	136.18848	0	37.293446	300.75504	19.86065	100.53208	1056.7054	79.05891	30.313513	0	0	0	0	0	0	74.002426	119.480316	219.66663	607.01056	0	251.02238	376.3327	2294.605	880.4417	1636.893	0	247.42867	14.059959	439.21802	831.1919	470.93262	3845.8362	53.94808	2606.7441	5.7024097	217.60072	877.3241	384.7088	234.07047	232.23785	412.8333	28.699253	216.01476	171.08305	1873.4902	2006.9216	274.60245	158.58951	526.4785	2.6013613	291.5751
No	SS350_RF11_01_7709	18.528677	0	5.3776474	87.39196	52.846924	93.387924	293.11768	0	160.5945	0	476.09006	95.77757	0	0	0	0	0	0	0	0	103.94372	0	92.27342	21.4807	42.73043	0	39.632454	0	20.959053	14.72871	0	55.509052	0	274.3254	0	57.088085	0	103.959564	31.579155	73.29512	65.7249	0	0	0	45.117767	75.002785	31.290958	110.96549	119.46652	0	7.328228
No	SS415_RD7_01_7786	63.51394	0	0	103.59084	31.907621	62.45615	206.38132	0	97.930115	0	0	0	0	0	0	0	0	0	0	0	0	0	20.107101	0	0	0	31.411346	0	9.628601	0	0	0	0	5.547251	0	44.961044	0	68.51152	3.4603858	0	28.96496	0	0	0	0	2.9255219	4.1395845	3.6398888	0	0	2.721262
No	SS401_RC5_01_7769	207.11311	0	13.211998	107.30376	0	60.50065	282.60446	0	74.2331	0	0	0	0	0	0	9.131464	4.6638613	0	0	0	0	0	135.58885	3.1552534	54.470875	0	81.4356	0	35.932007	69.08797	61.181057	0	0	160.7632	0	48.86574	42.518272	102.0048	53.656418	28.421808	41.31156	0	0	0	42.861183	60.459457	47.293922	6.263795	35.32158	0	10.246661
No	SS405_RC9_01_7773	23.68282	0	0	277.8177	19.79648	42.031933	291.66513	256.78604	281.32562	0	0	0	0	0	0	0	6.7379875	0	0	0	0	0	78.406494	18.560745	37.86158	0	123.66631	0	14.784702	0	0	79.42903	0	228.50592	0	49.585274	0	150.09526	115.240326	27.298376	51.52012	0	0	0	0	52.99575	20.202911	13.436895	10.308903	2.640233	9.116531
No	SS402_RC6_01_7770	265.47632	0	9.8203335	136.008	14.123343	93.55188	211.25758	0	184.09216	0	265.12277	0	0	0	0	3.2730246	0	0	0	0	0	0	52.490795	4.215823	45.52851	0	45.16123	0	16.411789	5.718925	0	0	0	93.90683	0	38.20731	0	66.46478	21.359211	0	22.714073	0	0	0	0	21.310844	16.423374	17.732296	5.522545	0	0
No	SS404_RC8_01_7772	581.8412	0	25.283821	198.74045	0	73.1498	266.3096	0	103.11506	0	105.04837	0	0	0	0	11.6667595	0	0	0	0	0	0	107.286095	4.657538	29.852278	0	104.63668	0	25.915653	27.363346	0	0	0	103.84517	0	73.52473	74.32881	92.37181	47.76534	0	55.562828	0	0	0	0	39.62902	37.550316	2.844469	2.8487248	2.6559353	3.3081436
No	SS406_RC10_01_7776	0	0	0	65.589195	23.250874	28.317966	257.4525	132.62836	81.14492	0	0	0	0	0	0	0	0	0	0	0	0	0	63.8976	5.5955553	10.25435	0	26.251698	0	19.315823	0	0	0	0	61.4485	0	49.92572	0	92.45674	61.80123	20.833797	27.180172	0	0	0	0	32.060062	28.918194	18.850418	32.881096	0	7.39842
No	SS397_RC1_01_7765	0	0	0	0	0	5.3456397	0	0	52.821476	0	0	0	0	0	0	0	0	0	0	0	0	0	100.11125	38.349464	104.31571	0	22.370243	0	13.331661	43.181522	0	103.05078	0	599.3525	0	0	0	85.94801	19.613598	0	32.419342	0	0	0	0	184.14914	6.3158565	9.586895	18.236517	0	2.888556
No	SS400_RC4_01_7768	261.4465	0	0	112.33706	0	123.945114	213.19328	0	39.571644	0	0	0	0	0	0	6.7708926	4.2185097	0	0	0	0	0	3.4556017	0	2.4486637	0	35.37599	0	52.498096	35.660366	0	0	0	16.485737	0	0	0	44.064285	17.676737	0	10.43068	0	0	0	0	7.8913965	3.0450406	3.2185163	3.6414733	0	0
No	SS395_RB11_01_7762	13.166735	0	0	60.845142	6.803733	12.286856	560.984	0	32.725845	0	0	0	0	0	0	0	0	0	0	0	245.07271	760.2959	67.12489	17.42625	31.117296	0	45.861	0	417.16885	1071.736	0	64.04242	0	199.40009	0	0	0	76.94829	76.94829	11.288281	47.05805	0	0	0	0	72.721245	3.386354	37.224792	38.20448	0	3.4263363
No	SS334_RE7_01_7692	19.21454	0	0	84.2511	0	40.52014	388.2771	0	245.13188	0	0	0	0	0	0	0	18.964952	0	0	0	54.05353	0	39.385185	0	20.861223	0	11.436833	0	8.204434	8.258989	0	0	0	78.79396	0	0	0	10.941153	0	0	34.367683	0	0	0	0	52.470013	13.619179	3.157248	14.857928	0	0
No	SS345_RF6_01_7704	59.986214	0	2.5025349	83.19295	2.6293344	62.73406	190.04031	0	419.0461	0	0	115.7525	0	0	0	0	0	0	0	0	188.49521	0	239.35204	13.098434	16.747353	0	214.49115	0	38.21504	13.880486	0	51.43956	0	241.5593	0	178.76437	104.68322	398.69003	52.137215	3.2105293	167.51233	0	0	0	64.04985	68.76495	72.70449	20.85668	37.280167	3.5158057	8.319046
No	SS355_RG4_01_7715	52.208973	0	3.2163987	127.29831	12.362041	124.81994	283.87296	0	116.38736	0	264.33865	115.78702	0	0	0	0	3.616619	0	0	0	53.431362	0	224.41	3.4429393	65.5733	0	248.73677	0	19.821445	13.717581	0	0	0	272.61514	0	85.582016	40.8491	447.98135	57.737206	2.9013824	152.57935	0	0	0	0	80.821106	29.161238	3.1879902	9.000043	4.2780204	6.938257
No	SS333_RE6_01_7691	53.784885	0	2.6523283	0	0	29.837639	76.18765	0	148.3209	0	0	0	0	0	0	0	6.038577	0	0	0	45.574936	0	135.89093	0	22.638351	0	30.6352	0	9.807335	0	0	0	0	109.45111	0	130.55853	46.524364	66.39129	9.455272	0	68.6559	0	0	0	0	53.450153	54.616863	3.1595678	4.4651723	0	2.9974794
No	SS339_RE12_01_7697	26.062521	0	5.348288	0	6.117246	24.165794	162.36508	0	373.70166	0	156.11072	0	0	0	0	0	0	0	0	0	57.96793	0	52.03136	2.9409351	22.009129	0	111.362465	0	9.951357	7.5373454	0	0	0	36.53207	0	0	0	86.639534	13.094144	3.0561848	40.492832	0	0	0	0	19.145428	13.846413	3.562231	7.2450256	0	3.2894611
No	SS283_RA4_01_7637	0	0	0	245.81276	0	39.084705	589.2131	0	50.35512	0	0	0	0	0	0	0	3.4390497	0	0	0	0	0	46.552753	22.120134	44.078842	0	194.4739	0	9.72344	41.834984	0	146.32777	0	262.6218	0	0	201.803	285.15005	194.85434	713.2958	143.80753	0	0	0	1030.9531	1259.1051	56.00166	366.33755	584.51843	3.2639694	23.535473
No	SS310_RC7_01_7666	48.474987	0	3.1039114	58.26997	0	176.27734	236.80016	0	225.37068	0	0	0	0	0	0	0	0	0	0	0	0	0	172.94366	0	28.537312	0	79.06327	0	40.83409	40.054577	0	0	0	104.727936	0	141.0459	74.64646	43.639557	4.784623	20.132036	103.9896	0	0	0	0	46.405067	48.39874	16.159737	13.022139	0	3.6646328
No	SS296_RB5_01_7651	28.037426	0	9.880487	84.91015	166.58301	155.32225	429.74374	0	155.30717	0	256.39697	0	0	0	0	0	0	0	223.81575	0	216.71422	257.79138	631.7214	52.782074	98.68216	0	270.9945	0	99.62581	194.59459	161.05707	196.23604	0	729.96814	2.5820866	489.79877	214.64803	315.76123	73.34869	198.96822	326.27954	0	0	0	62.321377	310.7006	175.64923	44.100075	100.53872	12.253769	47.71807
No	SS309_RC6_01_7665	35.10562	0	0	86.26581	0	38.90475	676.2407	0	180.40523	0	339.6744	0	0	0	0	0	0	0	0	0	0	0	82.23779	15.513278	41.33895	0	217.96176	0	8.550735	0	101.56893	88.85662	0	64.50188	2.4934545	73.22876	45.61801	85.86082	0	38.512314	92.959045	0	0	0	82.19137	33.501793	38.157448	13.985241	5.8994007	0	3.1543608
No	SS312_RC9_01_7668	94.93913	0	27.360735	87.63552	0	80.59276	273.61646	0	154.94547	0	0	0	0	0	0	3.1673121	0	0	0	0	0	0	79.54181	24.797613	36.13748	0	115.86842	0	26.131409	35.472015	0	78.07112	0	216.94981	0	0	0	229.63702	0	53.97367	68.1469	0	0	0	115.38472	82.80487	17.01622	39.972706	43.31997	0	20.986275
No	SS285_RA6_01_7639	0	0	0	249.14395	0	15.465961	365.0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.984768	16.985382	11.263042	0	68.99674	0	11.63036	33.748928	0	37.01084	89.63971	109.51369	0	0	31.438688	115.79925	72.61371	230.92317	104.719696	0	0	0	238.3239	427.17566	10.316139	194.57312	270.2231	0	2.692318
No	SS314_RC11_01_7670	45.96031	0	0	64.507996	0	87.58649	85.52692	0	340.85373	0	279.86447	0	0	0	0	0	0	0	0	0	0	0	73.90467	18.58656	51.294685	0	108.70588	0	16.497383	0	0	114.12178	0	333.5406	0	87.732254	72.27571	79.24824	25.661495	14.771949	38.975723	0	0	0	68.3241	165.27434	48.93395	8.4629	18.286636	2.687725	25.851997
No	SS313_RC10_01_7669	41.72825	0	0	38.31409	0	18.379488	189.38472	0	83.01258	0	0	0	0	0	0	0	0	0	0	0	0	0	133.81941	8.866732	23.736471	0	90.23861	0	58.72963	52.18752	0	47.681755	0	74.312614	0	0	85.39268	30.260857	0	12.200468	67.65613	0	0	0	41.030582	48.07219	17.378727	3.6217842	12.1859045	0	8.35133
No	SS297_RB6_01_7652	0	0	0	272.9119	0	7.8755264	607.7049	0	56.01835	0	0	0	0	0	0	0	0	0	0	0	0	0	42.015415	6.635323	13.059919	0	439.42883	0	23.176205	114.35544	0	71.357506	0	187.32187	3.801587	0	282.8063	517.36835	261.31787	1521.3867	43.61023	0	0	0	737.8214	1185.7502	65.56555	300.0871	481.96933	2.680295	14.157803
No	SS295_RB4_01_7650	0	0	0	221.88702	0	26.36217	347.89105	0	78.53204	0	0	0	0	0	0	0	0	0	0	0	0	0	36.010674	0	14.18434	0	63.812202	0	9.810976	0	0	38.220146	0	82.09487	0	0	90.4579	57.37644	27.454105	161.85255	191.14561	0	0	0	273.15518	346.6282	19.247768	302.06204	419.06973	0	0
No	SS293_RB2_01_7648	0	0	0	266.0338	0	40.575462	437.0764	0	247.7715	0	0	0	0	0	0	0	0	0	0	0	0	0	8.759706	4.2215853	19.854435	0	30.24548	0	19.724216	0	0	40.14222	0	125.980896	0	0	74.0766	72.04315	41.70476	204.63347	107.159454	0	0	0	447.96753	745.43756	36.978836	229.38646	425.48825	0	0
No	SS271_RH1_01_7620	3474.2834	48.448532	1265.0048	504.9398	1496.4927	360.87515	878.70667	283.6086	219.34436	0	275.42538	151.33243	0	0	0	114.493164	10.408512	64.57362	238.70003	0	0	288.90097	471.1579	66.641266	482.31494	0	253.33919	24.3276	49.051197	439.3325	211.61148	342.28284	0	1169.9009	0	319.4925	221.86143	502.85388	150.2207	58.885536	88.38068	109.309456	28.528708	63.304626	113.15667	446.47165	137.20018	28.172865	105.57363	3.339573	30.424236
No	SS303_RB12_01_7658	28.568737	0	2.647454	134.68642	77.274605	28.775034	190.30719	0	72.265686	0	0	0	0	0	0	0	0	0	0	0	0	0	82.54315	3.6599092	6.6714964	0	58.088646	0	22.98398	48.862797	0	0	0	81.2588	0	111.46158	0	58.32513	0	3.291208	27.63871	0	0	0	0	51.164364	18.93444	38.886208	6.7966924	0	3.2972064
No	SS336_RE9_01_7694	42.792923	0	0	0	9.136054	0	146.83168	0	319.19733	0	202.2142	0	0	0	0	0	44.159126	52.995674	0	0	107.25757	0	76.84029	79.23576	285.73578	0	45.83556	0	51.607662	118.21692	0	282.86215	0	597.7707	0	0	0	120.925766	14.171742	0	59.182583	0	0	0	68.33955	142.39221	0	28.08485	62.113316	0	27.286863
No	SS317_RD2_01_7674	63.530624	0	3.0253525	238.43724	10.521097	271.64154	446.47955	0	678.88824	0	539.8237	0	0	0	0	0	0	0	0	0	0	0	143.19153	21.691792	84.38052	0	214.72682	0	20.564466	31.613873	48.889675	50.269485	0	294.64743	0	63.220966	47.39922	198.01587	54.199	25.392296	84.104385	0	0	0	87.26346	84.675316	50.220158	86.26884	68.03608	0	22.285364
No	SS302_RB11_01_7657	0	0	0	219.90802	41.06524	36.054146	514.1198	0	79.99509	0	93.461	0	0	0	0	0	0	0	0	0	0	0	55.894657	2.5973892	3.1442966	0	53.857613	0	30.79824	0	0	0	0	15.704779	0	71.012024	0	30.059544	20.773563	102.17122	42.228004	0	0	0	0	11.339853	27.324707	42.586926	35.700157	0	0
No	SS343_RF4_01_7702	0	166.41495	2.8378997	59.734245	2.9760985	27.111923	271.99973	0	356.91296	0	93.07837	40.543266	0	0	0	0	0	0	0	0	0	0	81.53969	2.6827483	30.640938	0	47.054413	0	20.452848	7.54377	0	0	0	81.43993	0	57.521675	0	48.64824	21.506481	6.5722156	46.08806	0	0	0	0	91.71693	16.78234	8.441717	15.243978	0	2.9564981
No	SS353_RG2_01_7713	45.677834	0	2.871794	77.89746	2.6620703	137.2709	362.66556	0	282.56128	0	523.0745	194.35695	0	0	0	0	0	0	0	0	99.336365	0	169.87854	15.674979	21.148056	0	117.17549	0	49.700073	61.719673	0	64.65481	0	306.42545	0	165.79736	53.398525	400.4042	47.624153	0	148.20518	0	0	0	41.138992	142.7665	57.81456	12.753214	12.18153	0	24.533653
