ATTRIBUTE_ADDGroup	filename	MS_482	MS_513	MS_1040	MS_786	MS_1945	MS_1595	MS_1496	MS_4153	MS_6091	MS_2871	MS_1053	MS_5008	MS_475	MS_4871	MS_9453	MS_5865	MS_8665	MS_6023	MS_7675	MS_9086	MS_5929	MS_9203	MS_9522	MS_6098	MS_7969	MS_9850	MS_8453	MS_5898	MS_8942	MS_9357	MS_5940	MS_8145	MS_8680	MS_8430	MS_8604	MS_6227	MS_7729	MS_9099	MS_7031	MS_9439	MS_9753	MS_6327	MS_8388	MS_8927	MS_6828	MS_9383	MS_8429	MS_8640	MS_5531	MS_7295	MS_8016	MS_8880
-	compound	Tyramine-C2:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	1.06E-07	2.06E-03	1.01E-04	0.090006289	2.08E-05	0.00282311	1.13E-05	5.86E-20	3.35E-14	5.17E-05	4.74E-03	1.34E-03	7.93E-05	0.00021938	8.58E-29	6.49E-15	7.55E-21	9.92E-14	2.50E-06	2.87E-10	2.82E-10	1.51E-09	1.03E-41	1.23E-12	7.48E-05	5.19E-10	1.64E-05	3.86E-05	1.04E-13	2.21E-32	1.61E-10	1.46E-15	1.64E-11	8.47E-11	1.15E-10	7.11E-16	3.00E-11	5.57E-05	1.47E-12	3.26E-40	9.02E-21	1.96E-09	3.48E-04	7.08E-08	2.95E-05	1.75E-01	3.49E-13	5.85E-06	5.88E-06	2.72E-28	1.88E-06	4.07E-06
early	Plate17_60428_Soil_BE8_01_28413	0	0	0	0	0	7.552345	0	0	0	0	14.863988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4418535	0	0	0	0	0	0	0	0	0	0	0	4.1275907	0
early	Plate11_64784_Soil_GB7_01_27612	3.892274	0	15.556145	0	7.994973	7.120013	4.8653183	0	0	3.3299508	18.35304	0	0	0	5.590386	0	0	0	5.3864765	0	0	0	0	0	6.215543	9.835545	6.510681	52.996216	0	0	0	0	0	0	0	0	0	13.599226	44.351044	2.7959442	0	0	0	3.9085257	47.054806	3.1702294	3.2468672	0	0	4.843153	93.09451	3.0289304
early	Plate18_54618_Soil_GE1_01_28556	0	0	0	0	0	3.4627414	0	0	0	0	2.3479042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7123523	0
early	Plate17_55460_Soil_BF4_01_28422	0	0	3.9714942	0	0	3.4459083	0	0	0	0	7.689235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5039816	0	0	0	0	0	0	0	0	0	0	0	4.29381	0
early	Plate17_60410_Soil_BF7_01_28426	0	0	0	0	0	0	0	0	0	0	14.353237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8442345	0	0	0	0	0	0	0	0	0	0	23.531803	0	0	0	0	0	0	0	0	0	0	0	7.7401047	0
early	Plate14_60898_Soil_BC2_01_27865	0	0	5.3986635	0	7.296777	18.973282	7.7564316	0	0	0	38.825237	3.809698	0	0	0	0	0	0	0	0	4.0668964	2.3493307	0	0	13.903147	4.935918	0	0	0	0	0	0	0	0	0	0	0	0	86.28488	0	0	0	0	7.856593	15.515918	1.3792639	0	0	0	4.031337	47.895973	0
early	Plate10_62048_Soil_BH1_01_27807	4.276067	0	3.33817	0	22.934378	15.432388	14.140576	0	0	7.631769	38.694546	0	0	0	804.7638	0	10.350851	0	0	8.480561	0	8.86779	276.77332	0	4.074115	1825.2845	7.4277806	0	5.835759	876.80664	0	0	16.516596	56.093525	3.9982486	3.3665848	7.6615763	14.474319	129.65668	279.0583	1382.2404	0	3.4851265	14.055346	15.444339	5.8465576	6.1172733	28.495825	0	3.476575	46.631157	3.5658658
early	Plate17_62050_Soil_BF9_01_28428	3.4415479	0	3.8318546	0	4.4948463	9.32697	3.4569306	0	0	0	8.020289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4075556	0	2.3583174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3972473	0
early	Plate10_43634_Soil_BF4_01_27782	4.819656	0	13.294006	0	0	68.992546	5.893737	0	0	0	101.70187	0	0	0	3.21146	0	0	0	0	5.5301785	0	0	0	0	11.334193	0	0	3.5605793	0	5.29101	0	0	0	0	0	4.5199585	0	0	0	0	0	0	7.6402783	0	5.371256	0	0	0	3.8526258	0	0	0
early	Plate17_61906_Soil_BC8_01_28383	0	0	0	0	4.2303715	4.674449	4.4352503	0	0	0	15.251382	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9289064	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5866795	0	0	0	0	0	0	0	0	0	0	0	13.3076105	0
