ATTRIBUTE_diet	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
-	compound	Putrescine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Valine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Methionine-C2:0	Phenylalanine-C2:0	3-methylhistidine-C2:0	Leucine-C5:0	Phenylalanine-C4:0	Tyrosine-C5:0	Amylamine-C16:0	Asparagine-C14:0	Amylamine-C18:2	Putrescine-C18:2	Amylamine-C18:1	Amylamine-C18:0	Valine-C16:0	2-phenethylamine-C16:0	Spermidine-C16:1	Spermidine-C16:0	Leucine-C16:0	Valine-C18:2	Valine-C18:1	2-phenethylamine-C18:2	Lysine-C16:0	2-phenethylamine-C18:1	Spermidine-C18:2	Spermidine-C18:1	Spermidine-C18:1	Leucine-C18:2	Aspartic acid-C18:2	Leucine-C18:1	Aspartic acid-C18:1	Leucine-C18:0	Phenylalanine-C16:0	Lysine-C18:1	Lysine-C18:1	Arginine-C16:0	Methionine-C18:1	Leucine-C20:3	Leucine-C20:2	Leucine-C20:1	Phenylalanine-C18:2	Phenylalanine-C18:1	Phenylalanine-C18:0	Tyrosine-C18:2	Tyrosine-C18:1	Phenylalanine-C20:3	Tryptophan-C18:2
HFD	SS24_RB12_01_7332	0	0	7.436425	51.431328	3.8072715	32.595062	323.09915	0	112.79277	0	0	0	0	0	0	2.6693716	7.4501677	36.29215	0	0	76.04938	425.7284	59.549812	7.068578	15.742336	0	73.36778	0	143.57161	459.07217	0	29.871862	0	92.854164	0	0	40.93432	114.984276	117.57773	63.931084	186.58376	0	0	0	62.822998	94.381714	39.260113	15.470029	33.112183	0	15.963566
HFD	SS28_RC4_01_7337	0	0	2.5379124	0	11.879472	30.79276	272.5272	0	340.66022	0	0	0	0	0	0	0	0	0	0	0	284.09894	1136.8628	156.58116	19.292225	13.647085	0	57.05845	0	427.4469	1188.2477	0	51.414955	0	91.3865	3.6118927	60.14818	0	87.57672	87.57672	16.815163	57.381638	26.372044	0	0	26.84454	21.629417	23.481329	88.4623	23.230087	0	15.759807
HFD	SS30_RC6_01_7339	11.182751	0	2.744995	46.477634	5.6470003	90.04016	393.7088	0	131.15991	0	0	0	0	0	0	0	0	0	66.58264	0	70.42797	324.05508	265.08466	31.340225	60.946274	0	216.17142	0	153.6941	431.0041	79.768936	123.95642	0	612.70197	0	137.5353	91.08292	382.3711	374.7515	178.34708	67.25318	19.29445	0	0	84.74574	201.50795	53.197968	18.677856	54.601135	3.635069	36.183857
HFD	SS3_RA3_01_7307	0	0	2.6438327	22.138681	2.4865541	21.387085	307.2972	0	76.17162	0	0	0	0	0	0	0	0	0	0	0	225.13635	823.8546	36.76661	6.376821	5.70956	0	69.99602	0	371.25397	820.817	48.347263	0	0	50.870632	0	0	0	100.75342	102.45911	239.9556	15.341457	0	0	0	0	10.702638	5.469442	12.524178	9.510324	0	7.5361505
HFD	SS35_RC11_01_7344	30.63495	56.236076	0	0	3.291006	63.32058	0	0	186.46786	0	245.14157	0	0	0	0	0	0	0	0	0	45.063908	0	118.0623	0	26.98098	0	84.52669	0	7.88029	36.804016	151.73494	0	0	90.67273	0	73.12003	34.555286	95.89725	35.34536	4.7436457	48.05818	0	0	0	0	46.896423	32.285446	26.167042	23.164755	0	15.232634
HFD	SS6_RA6_01_7310	26.688032	0	3.5986452	30.223278	4.184104	32.827145	308.6343	0	61.9624	0	0	0	0	0	0	0	0	0	0	0	94.14084	317.29538	126.46718	34.567013	60.455566	0	49.300987	0	119.79224	190.19998	0	112.98066	0	361.74377	0	58.98823	41.337242	107.661	109.27435	255.84167	36.85608	30.680677	0	0	104.56635	134.6903	32.5218	21.47457	31.299282	0	22.449524
HFD	SS38_RD2_01_7348	28.73734	33.901867	0	0	3.9037247	59.00921	0	0	1185.6761	0	0	0	0	0	0	2.8919983	8.975781	0	0	0	0	0	142.67151	10.19222	25.461445	0	64.15017	0	16.66104	34.79059	0	30.853321	0	145.2616	0	67.91811	40.101406	73.14899	53.464622	22.31225	48.14576	0	0	0	27.502106	54.570312	25.374445	5.525093	17.406134	0	9.630847
HFD	SS76_RG4_01_7391	16.2505	0	5.4012494	31.907372	13.482753	42.97004	132.17479	0	132.27402	0	0	0	0	0	0	0	0	0	0	0	112.53073	381.0035	121.51179	0	33.943382	0	103.7479	0	189.96927	550.8914	77.73146	0	0	63.60302	0	75.91128	37.141582	137.33867	89.98477	290.34366	50.87479	0	0	0	0	38.49138	38.9612	11.693878	10.49737	2.943057	6.81363
HFD	SS5_RA5_01_7309	0	0	0	18.872309	3.6135168	20.182898	180.66586	0	56.707836	0	0	0	0	0	0	0	0	0	0	0	162.85622	596.7359	28.000154	3.0296717	15.4337635	0	57.85675	0	222.64781	710.327	0	0	0	48.852882	0	0	0	92.89128	92.89128	218.51826	28.630442	0	0	0	0	28.007107	4.131382	13.266829	2.6403022	0	3.8460503
HFD	SS77_RG5_01_7392	0	0	2.718005	0	4.305485	53.27927	107.116905	0	93.71904	0	0	0	0	0	0	0	0	0	0	0	0	179.4672	118.850395	0	20.067303	0	76.50684	0	116.292114	340.7912	60.14642	0	0	77.667725	0	88.87668	39.500587	140.20085	144.00081	81.65121	24.482738	0	0	0	0	32.07208	48.82181	7.3506904	14.444393	0	0
HFD	SS67_RF7_01_7380	0	0	0	42.806934	7.8834553	56.301373	568.332	0	118.023636	0	0	0	0	0	0	0	0	0	0	0	297.34015	805.68976	437.89868	18.203114	32.64891	0	125.57794	0	475.41278	1260.0956	0	0	0	82.01238	0	117.07925	54.58289	164.95828	167.92686	309.99802	27.772943	33.93265	0	0	0	33.83951	34.252956	85.328995	43.311623	0	20.69542
HFD	SS75_RG3_01_7390	36.23442	0	3.6763961	0	20.350374	91.3087	85.92071	0	100.97319	0	0	0	0	0	0	0	0	0	0	0	52.94057	0	129.77753	0	36.594086	0	97.40728	0	29.691853	57.230812	0	0	0	221.70845	0	90.61929	47.846226	93.17911	43.92136	25.767002	43.352276	17.98218	0	0	30.314434	55.464737	30.972574	3.6035652	11.063129	3.4485626	3.846418
HFD	SS68_RF8_01_7381	0	0	0	58.785595	3.1529171	31.969692	485.33566	0	90.54548	0	0	0	0	0	0	0	0	0	0	0	82.947845	160.19278	177.86021	11.9583	32.406334	0	69.78334	0	139.72295	339.58258	0	46.888252	0	282.18777	0	45.02903	41.84195	149.31265	142.09186	154.96631	16.461346	0	0	0	52.99059	86.17111	22.3914	32.11634	52.58316	0	24.475662
HFD	SS42_RD6_01_7352	31.401165	38.213074	7.9060097	134.33923	20.17773	64.27869	449.0648	0	513.313	0	0	0	0	0	0	0	0	0	133.00462	0	447.0738	938.5063	665.51306	76.83284	81.97005	0	209.12952	0	579.3388	1945.7776	0	67.983826	85.02832	486.11356	0	182.45105	126.867165	397.9935	402.33173	258.07275	105.7732	0	0	0	64.67572	181.94849	41.52738	67.49519	75.00365	0	49.492645
