	ATTRIBUTE_diet	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
409	NC	SS380_RA8_01_7746	301.86685	2189.1013	890.14276	51.66975	633.7235	149.697	367.2017	104.854355	561.6976	0.0	0.0	0.0	1005.43524	0.0	238.48601000000002	57.992012	465.92947000000004	151.76187	0.0	0.0	176.47777	0.0	68.77085	43.188340000000004	64.96164	74.52333	218.08806	84.6575	29.779709000000004	21.929792000000003	0.0	262.64599999999996	120.57247	194.31512	0.0	0.0	0.0	225.33877999999999	66.3282	227.90972999999997	13.001532000000001	48.757317	13.625134	0.0	190.72751	90.58436999999999	22.982124	84.47914	9.094581	34.918606	243.55666000000002
411	NC	SS422_RE2_01_7794	4548.3926	403.09262	584.4356700000001	1418.74	0.0	335.37216	1772.6174	498.9343	439.45786	0.0	0.0	326.8278	204.14643999999998	0.0	0.0	56.073240000000006	67.01533	54.543465000000005	0.0	0.0	0.0	0.0	58.37406	11.626039500000001	8.300517999999999	0.0	35.962494	37.12869	156.81578000000002	23.75615	0.0	49.49903	0.0	64.51099	0.0	0.0	0.0	44.33749	30.013924	6.652984599999999	10.92493	0.0	0.0	0.0	76.74324	79.661766	30.41821	29.767487	14.576568	9.421378	34.118384999999996
412	NC	SS412_RD4_01_7783	217.60223	414.6811	112.73526000000001	511.72818	136.55206	189.60118	229.51303	155.44884	438.68973	0.0	0.0	0.0	861.39856	0.0	0.0	9.074052	335.3619	113.643105	0.0	0.0	0.0	0.0	104.87903999999999	22.631489000000002	9.543669	0.0	218.33615	59.625248	20.547302	0.0	0.0	98.62607	27.550362	66.4624	0.0	0.0	0.0	109.048744	4.1802790000000005	65.71334	4.3941099999999995	0.0	12.937939	0.0	76.41832	27.394896999999997	9.346006	34.198074	6.044176	18.371117	49.589985
377	NC	SS374_RA2_01_7740	3147.7402	2744.0483	302.3288	72.80465	48.185448	1672.0896	385.90817000000004	86.710144	226.66525	0.0	0.0	0.0	1032.344	0.0	183.80518	94.21675	459.39645	177.31248	0.0	0.0	0.0	0.0	75.08922	47.686946999999996	35.54988	0.0	157.93951	104.664955	75.234604	5.33115	0.0	337.99737999999996	99.80935	146.23465	2.5298553	0.0	0.0	104.93605	27.841065999999998	92.37894399999999	2.8002176	17.297048999999998	0.0	0.0	288.5326	56.10525500000001	9.241152	55.011703000000004	3.4634342000000005	4.372161	226.35855
376	NC	SS385_RB1_01_7752	167.72995	0.0	145.99598999999998	43.057014	30.374233	56.964659999999995	236.61612999999997	154.13472	421.1255	0.0	0.0	0.0	995.5397	0.0	223.7519	42.541893	463.48087000000004	194.01875	0.0	0.0	0.0	0.0	92.66133	59.785748	78.21905	0.0	181.02045	106.75903999999998	53.785965000000004	15.229451000000001	0.0	325.6268	0.0	220.93802999999997	0.0	0.0	0.0	88.51198000000001	25.168463	65.87456	12.113712	0.0	18.68949	0.0	288.25378	134.22333999999998	11.000633	58.862892	12.756975	19.549979999999998	147.71188
375	NC	SS390_RB6_01_7757	234.51642	325.81775	45.94638	216.64755	11.187909	82.61731999999999	200.17049	157.36235	384.74023	0.0	0.0	0.0	831.2699	0.0	192.82005	22.616272	399.0914	176.41383000000002	0.0	0.0	0.0	0.0	46.828175	32.525517	20.664087	0.0	87.20047	110.28268999999999	62.313427000000004	2.7350664	0.0	183.14781000000002	79.9846	87.63917	0.0	0.0	0.0	67.12311	18.832586	42.649809999999995	13.628394	0.0	0.0	0.0	128.39851000000002	54.24821	3.2652970000000003	47.832287	7.8349705	13.5445595	131.95848
413	NC	SS409_RD1_01_7780	250.2402	853.1723599999999	157.55434	610.4769	123.48178999999999	111.14152	120.20006000000001	310.38455	577.3879400000001	0.0	0.0	0.0	455.97875999999997	0.0	157.8928	13.001728	215.47522999999998	67.54571999999999	0.0	0.0	0.0	0.0	66.95640999999999	54.898734999999995	16.822325	0.0	88.739075	58.779205000000005	9.049494000000001	0.0	0.0	258.23856	103.268745	43.027626	0.0	0.0	0.0	101.77356	25.224121	36.008133	11.171039	0.0	0.0	0.0	148.46126	51.26577	0.0	10.616498	6.700761999999999	12.953821000000001	192.78595
19	NC	SS11_RA11_01_7317	265.35455	351.87625	527.0381	25.107113000000002	29.330696000000003	343.51642000000004	228.61973999999998	0.0	344.24672999999996	0.0	0.0	0.0	61.94376	0.0	0.0	52.536823	50.157740000000004	0.0	0.0	0.0	0.0	0.0	11.200642	9.011249000000001	0.0	0.0	63.771896	13.946001	96.352905	0.0	0.0	27.738892	0.0	8.837732	0.0	0.0	0.0	51.945175	26.802516999999998	35.621277	0.0	0.0	0.0	0.0	98.31905	19.763422	3.5558724	15.415926999999998	0.0	0.0	94.197334
372	NC	SS383_RA11_01_7749	314.15088	1145.3105	205.02713	67.07672	20.918808	41.41666	973.3810000000001	145.68004	382.53287	0.0	0.0	0.0	234.90921	0.0	0.0	9.867214	108.001465	0.0	0.0	0.0	0.0	0.0	61.441784	21.736195000000002	30.801533000000003	0.0	35.125923	19.825264	15.940515	2.7143104	0.0	97.54030999999999	0.0	170.94353999999998	0.0	0.0	0.0	25.035875	10.612214	14.662151000000001	4.469261	0.0	0.0	0.0	89.40558	102.09704	7.932428999999999	34.0502	33.05318	5.871203400000001	60.710930000000005
404	NC	SS407_RC11_01_7777	163.37778	254.90888999999999	108.13772	398.19775	200.82003999999998	87.17093	211.63504	74.106926	406.65207000000004	0.0	0.0	0.0	815.02856	0.0	243.2395	48.92045	398.81088	140.61731	107.40681000000001	0.0	0.0	95.99859000000001	159.71776	56.15041	98.13186	0.0	188.97987	103.49438	24.659824	3.4674977999999994	0.0	272.28616	0.0	174.26038	0.0	0.0	104.04281999999999	81.46408000000001	19.638197	92.135254	24.875515	0.0	25.312828	0.0	171.33115	94.15416	26.754540000000002	70.72192	19.189949	10.511258999999999	244.69855
370	NC	SS386_RB2_01_7753	202.57648	0.0	34.642784000000006	0.0	25.260689000000003	117.59642	232.88719	97.398636	303.68066	0.0	0.0	0.0	668.78235	0.0	163.40631000000002	11.754408	335.01867999999996	160.68625	0.0	0.0	0.0	0.0	50.55355	33.124072999999996	38.30312	0.0	140.2394	74.05228000000001	43.20747	2.8430557	0.0	102.77215600000001	43.540245	160.66093	2.8027877999999995	0.0	0.0	65.10921	7.4612727	17.413239	8.705200999999999	0.0	0.0	0.0	126.2298	60.689075	7.2039614	55.938812	11.448946000000001	3.8801379999999996	73.67328
385	NC	SS376_RA4_01_7742	4194.6990000000005	3131.369	963.27454	86.97209000000001	82.86787	1729.3326	460.57995999999997	132.60672	353.8175	0.0	0.0	0.0	1205.8562	0.0	263.46637000000004	151.08218	592.936	207.08968000000002	0.0	0.0	0.0	0.0	132.98767	65.14986400000001	126.25993000000001	107.27498999999999	219.9291	150.01946999999998	104.595566	110.46716	162.27213999999998	473.83252000000005	76.55136	356.44025	0.0	0.0	0.0	151.25642	63.896164	117.23933400000001	18.001102	0.0	0.0	0.0	388.43222000000003	183.24657	5.6147714	41.886044	14.512315	8.860930999999999	261.64832
403	NC	SS384_RA12_01_7830	125.35805	2563.7202	151.13786000000002	75.83555600000001	59.871643000000006	93.33596999999999	304.39215	142.02068	476.63985999999994	0.0	0.0	0.0	681.9938	0.0	188.88411000000002	11.030169	437.01752	212.31671	0.0	0.0	0.0	0.0	100.86045	52.90466	31.094409999999996	0.0	58.738052	79.19694	18.831717	3.427168	64.03708	323.8244	120.782486	55.56945	2.900784	0.0	0.0	88.61788	49.712047999999996	55.627136	6.4716363	0.0	8.347958	0.0	207.13707	44.88824	6.916796000000001	70.50157	10.786392999999999	25.120673999999998	207.8104
390	NC	SS379_RA7_01_7745	182.02448	1475.4161	732.2131	156.68864	567.4049	386.55893	405.02002000000005	102.01711	608.3734	0.0	235.09132000000002	0.0	790.20483	0.0	163.05756	18.777878	366.0431	118.09962	0.0	0.0	95.07944499999999	0.0	49.91879	23.502289	11.537371	0.0	229.5882	80.19285	30.447384000000003	5.097805999999999	0.0	145.80159	76.10583000000001	104.855804	2.6643833999999997	0.0	0.0	132.10762	37.933346	159.83873	6.7425679999999995	31.049538000000002	10.311243	0.0	114.623764	31.906225	12.786556	40.68121	19.030388000000002	8.470724	200.70563
