	ATTRIBUTE_antibiotics_YN	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
327	No	SS338_RE11_01_7696	102.19545	0.0	0.0	0.0	38.447734999999994	48.126616999999996	177.17248999999998	0.0	366.96545	0.0	191.96275	0.0	0.0	0.0	0.0	0.0	16.172886	0.0	0.0	0.0	154.39302	0.0	93.45319	19.819153	98.43347	0.0	52.10201	0.0	28.685976	25.233746	0.0	78.85746999999999	0.0	486.094	0.0	0.0	0.0	293.5994	46.370155	2.874269	105.52379599999999	0.0	0.0	0.0	0.0	180.38268	20.542938	3.774293	38.14043	0.0	5.117516
325	No	SS340_RF1_01_7699	38.291911999999996	0.0	0.0	0.0	2.6547604	49.156634999999994	272.64587	0.0	100.53908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.419674	0.0	77.97953000000001	13.940367000000002	15.156356	0.0	75.57188000000001	0.0	20.244854	0.0	0.0	30.585285	0.0	67.29559	0.0	128.43193	0.0	106.35307	16.481297	0.0	57.571090000000005	0.0	0.0	0.0	0.0	35.38482	53.01821999999999	3.869575	15.546043	0.0	7.555198700000001
338	No	SS316_RD1_01_7673	63.84954499999999	0.0	13.366625	103.10956999999999	18.631698999999998	181.49991	438.28607	0.0	533.1138	0.0	555.2567	0.0	0.0	0.0	0.0	3.0590286	0.0	0.0	0.0	0.0	108.48136000000001	0.0	88.49407	13.878245999999999	23.123058	0.0	190.55305	0.0	26.835663	35.975840000000005	155.41699	0.0	0.0	91.14376999999999	0.0	0.0	0.0	259.17157000000003	2.6584415	20.815811	243.16364	0.0	0.0	0.0	41.081745	84.00021	39.144474	77.265884	34.174423	2.7179694	14.489129
204	No	SS222_RC12_01_7566	0.0	33.75833	0.0	116.48958	55.865359999999995	97.58386	274.5498	0.0	83.24771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6316376	0.0	0.0	0.0	86.43982	0.0	146.64792	17.841969	48.719440000000006	0.0	74.81445	0.0	50.383064000000005	67.480644	0.0	0.0	24.911904999999997	294.27686	0.0	53.90470500000001	0.0	125.87592	92.03353	154.48383	74.917404	0.0	0.0	0.0	0.0	68.90938	14.564367	8.750033	19.65348	0.0	22.868507
220	No	SS220_RC10_01_7564	0.0	0.0	2.7242174	245.9019	17.104635000000002	22.048246	1171.61	0.0	69.113976	0.0	276.89907999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.11566	634.6134599999999	399.69016	36.134809999999995	212.95412000000002	0.0	68.26187	0.0	478.27914000000004	1312.245	0.0	0.0	105.33559	540.7869	3.2563348	67.427216	186.58238	94.55258	86.64311	240.71434	70.06923	55.39626	0.0	0.0	0.0	286.4721	50.244514	53.712967000000006	48.989746000000004	0.0	8.659763
202	No	SS240_RE6_01_7586	0.0	0.0	0.0	48.13179	0.0	0.0	340.59277000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.145699	0.0	2.5467873	0.0	0.0	0.0	12.410095	8.256895	0.0	0.0	0.0	5.7305527000000005	0.0	0.0	0.0	0.0	0.0	0.0	2.5378752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9134150000000005	0.0	0.0
78	No	SS66_RF6_01_7379	21.063646	0.0	7.226915400000001	123.33293	12.493267999999999	74.947624	580.09766	0.0	389.29834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.70918	0.0	252.3907	676.39307	624.1579	56.378536	50.370354	0.0	187.27373	0.0	360.0695	1046.3964	0.0	54.65684	0.0	264.40497	0.0	192.26735	72.03786	336.81314	304.92245	139.55278	55.079308	39.589737	0.0	0.0	34.76135	59.414272	67.60518	83.49049000000001	81.90782	0.0	21.259113
77	No	SS107_RB2_01_7432	52.553688	0.0	0.0	0.0	0.0	134.75557	0.0	0.0	108.87876999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8858266	0.0	0.0	0.0	0.0	0.0	15.075651	5.342662000000001	20.013182	0.0	19.308372	0.0	10.032453	0.0	0.0	0.0	0.0	36.951874	0.0	0.0	0.0	16.99561	15.264394	8.272245	6.265069	0.0	0.0	0.0	0.0	36.058346	3.0143824	9.231886	17.699337	0.0	3.5039977999999996
75	No	SS79_RG7_01_7394	7.9823227	0.0	0.0	28.050628999999997	0.0	40.49127	375.8983	0.0	82.001015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	714.8386	2446.308	417.43527	15.451901999999999	15.554314999999999	0.0	100.111626	0.0	1139.8073	3633.6	0.0	0.0	69.72368	43.394436	0.0	58.879963000000004	0.0	98.9979	41.737225	0.0	14.221623000000001	33.767466999999996	0.0	0.0	0.0	20.779572	12.30234	42.611614	17.075891	0.0	5.8427430000000005
73	No	SS76_RG4_01_7391	16.2505	0.0	5.4012494	31.907372	13.482753	42.970040000000004	132.17479	0.0	132.27402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.53073	381.0035	121.51178999999999	0.0	33.943382	0.0	103.7479	0.0	189.96927	550.8914	77.73146	0.0	0.0	63.603019999999994	0.0	75.91128	37.141582	137.33867	89.98477	290.34366	50.874790000000004	0.0	0.0	0.0	0.0	38.49138	38.9612	11.693878	10.49737	2.943057	6.81363
