filename	MS_670	MS_1030	MS_6449	MS_717	MS_894	MS_453	MS_3590	MS_6872	MS_1191	MS_4169	MS_5010	MS_1341	MS_2942	MS_4813	MS_9355	MS_3517	MS_7760	MS_2118	MS_2112	MS_6466	MS_8239	MS_243	MS_1526	MS_1109	MS_2936	MS_5981	MS_5279	MS_4449	MS_7579	MS_9944	MS_13162	MS_8475	MS_5106	MS_8386	MS_8541	MS_877	MS_10867	MS_15189	MS_972	MS_9095	MS_9008	MS_10855	MS_5534	MS_12717	MS_4361	MS_12600	MS_14651	MS_18006	MS_5683	MS_4689	MS_20130	MS_13564	MS_15990	MS_5921	MS_13221	MS_18173	MS_15659	MS_16381	MS_23208	MS_23827	MS_18694	MS_20828	MS_23228	MS_22550	MS_23818	MS_31692	MS_24091	MS_25781	MS_29668	MS_26402	MS_32495	MS_22927	MS_24288	MS_29361	MS_19344	MS_23521	MS_31275	MS_32587	MS_28216	MS_32710	MS_20454	MS_31008	MS_32449	MS_18921	MS_24129	MS_31931	MS_19854	MS_23328	MS_32041	MS_28713	MS_30343	MS_23695	MS_32983	MS_23188	MS_31397	MS_27981	MS_30083	MS_30655	MS_32048	MS_37395
compound	Putrescine-C2:0	Cadaverine-C2:0	Cadaverine-C2:0	Histamine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Putrescine-C4:0	2-aminovaleric acid-C2:0	Histamine-C3:0	N-acetylputrescine-C2:0	N-acetylputrescine-C2:0	N-acetylputrescine-C2:0	Putrescine-C5:0	Putrescine-C5:0	Alanine/Sarcosine-C5:0	Aspartic acid-C2:0	Tyramine-C2:0	Histamine-C4:0	Histamine-C4:0	N-acetylcadaverine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Lysine-C2:0	Glutamic acid-C2:0	Threonine/homoserine-C4:0	Dopamine-C2:0	Histamine-C5:0	Histamine-C5:0	N-acetylcadaverine-C3:0	Cadaverine-C6:0	Leucine-C4:0	Methionine-C3:0	Spermidine-C5:0	Histamine-C6:0	Histamine-C6:0	3-methylhistidine-C2:0	Cadaverine-C7:0	Leucine-C5:0	Spermidine-C4:0	Spermidine-C4:0	Serotonin-C2:0	Methionine-C4:0	Tyrosine-C2:0	Cadaverine-C8:0	Lysine-C5:0	5-methoxytryptamine-C2:0	Phenylalanine-C4:0	Tyramine-C6:0	L-DOPA-C2:0	Histidine-C5:0	Leucine-C7:0	N-acetylcadaverine-C7:0	Cadaverine-C10:0	Arginine-C5:0	Tryptophan-C3:0	Leucine-C9:4	Histamine-C10:0	Methionine-C9:4	Tyramine-C10:1	Tyramine-C10:0	Histamine-C12:0	Putrescine-C14:0	Putrescine-C16:0	Histamine-C15:0	Cadaverine-C16:0	Leucine-C14:0	Histamine-C16:0	Putrescine-C18:0	Valine-C16:0	Cadaverine-C18:0	Leucine-C16:0	Histamine-C18:2	Histamine-C18:1	Valine-C18:2	Spermidine-C16:0	Lysine-C16:0	Methionine-C16:0	Leucine-C18:2	Leucine-C18:1	Leucine-C18:1	Arginine-C15:0	Tyramine-C18:2	Tyramine-C18:1	Spermidine-C18:2	Lysine-C18:2	N-acetylcadaverine-C18:1	Spermidine-C18:1	Lysine-C18:1	Methionine-C18:2	Phenylalanine-C18:3	Phenylalanine-C18:2	Arginine-C18:1	Serotonin-C18:1	Arginine-C18:0	Tryptophan-C16:0	Tyrosine-C18:2	Tyrosine-C18:1	Tryptophan-C18:2	Tryptophan-C18:1	Serotonin-C20:0
P2_E6_Sample_X3147775	0	1103828	0	363970.94	0	2716492.2	0	0	448467.62	0	0	0	0	0	0	0	0	0	89508.57	160379.11	0	0	500011.22	0	70224.92	37569.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5548.421	0	0	0	0	0	0	1651.332	0	0	0	0	5912.4644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14430.002	0	7005.6255	0	0	0	0	0	0
P2_B3_Sample_x3147970	0	649271.06	0	0	1820922.4	1076796.9	0	0	723924.06	0	0	0	0	0	0	0	0	0	1413669.9	249366.97	80371.43	0	0	0	0	23060.107	589554	22951.088	0	0	0	0	0	0	73909.04	0	0	0	0	0	21874.533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	846.14	0	0	0	1475.8845	0	0	0	0	0	0	0	0	0	0	0	0	11094.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1031.2961	0	0	0	0	0	0	0	0	0	0
P2_D6_Sample_x3147123	0	29900000	195655.39	375740.44	13600000	49400000	355569.38	20242.986	3521850.8	1219035	0	0	6531001.5	2388741.5	0	7281.069	131710.5	56011.344	111571.734	2918971	4504075	3574319	328591.7	0	89555.05	32422.848	3013968	22714.703	679504.5	19811.484	0	0	7334.9844	0	27737.707	110970.91	0	0	0	0	0	0	12569.351	0	0	0	0	0	0	26835.816	0	0	0	3757.3774	4667.746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6611.8164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2_H5_Sample_x3150019	0	0	0	0	0	234689.92	15364.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561.8834	0	0	0	0	0	0	0	0	0	29.56939
P2_G4_Sample_X3144104	0	12300000	104889.445	0	5376927	46700000	273650.3	0	3794659.8	0	0	0	2049248.8	35111.453	0	0	119649.33	0	2353543	784707	1590590.9	0	564794.75	0	50859.246	0	1379306.6	0	408159.62	334922.4	0	0	81111.63	0	246932.69	0	120124.04	0	0	0	0	0	0	7821.046	0	0	0	0	0	0	0	13246.507	3968.851	0	0	0	0	0	87696.49	34711.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6383.4204	18362.227	0	0	0	0	0	0	0	2384.0586	0	0	0	0	0	0	0	0	0	0
P4_E6_Sample_X3142698	0	8968013	69555.74	140054.45	5279468	19800000	67429.59	0	1036408.5	96456.68	0	0	570464.9	181424.08	0	0	0	0	0	319243.2	366833.78	1734784.4	0	0	70189.1	112313.51	0	12031.902	181715.81	0	96994.66	0	8791.646	0	0	0	0	0	0	0	35392.83	0	5242.9883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4267.787	86992.82	0	0	0	0	0	0	0	0	0
P2_G8_Sample_X3146815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58220.336	0	0	0	0	0	413282.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4207.4863	0	0	0	0	0	0	0	0	5918.939	0	0	0	0	0	0	0	0	0	0
P3_G11_Sample_X3143561	0	0	0	175059.17	0	0	0	0	322068.3	0	0	0	0	0	0	0	0	0	0	0	27853.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36661.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558.7069	0	0	0	0	0	0	0	0	0	0
P3_A8_Sample_X3144044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198546.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1063.3237	0	0	0	0	0	0	0	0	0	0
P3_H2_Sample_x3140420	0	0	0	81235.055	1110380.2	0	0	0	0	244077.28	0	0	0	0	0	0	0	0	0	40609.457	0	0	0	0	0	0	0	5233.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44360.344	0	0	0	0	0	0	0	0	106451.14	0	0	0	0	0	0	0	32203.627	0	0	0	0	0	0	0	0	0	1610.8079	0	0	0	0	0	0	0	0	0	0
