Compound	counts_microbeMASST	head	tail	carbons	unsaturations	even_odd
Tyramine-C9:4	6	Tyramine	C9:4	C9	4	even
Cadaverine-C10:0	10	Cadaverine	C10:0	C10	0	even
Threonine/homoserine-C17:1	34	Threonine/homoserine	C17:1	C17	1	odd
Threonine/homoserine-C15:0	87	Threonine/homoserine	C15:0	C15	0	odd
Serine-C16:0	44	Serine	C16:0	C16	0	even
Threonine/homoserine-C18:2	13	Threonine/homoserine	C18:2	C18	2	even
Threonine/homoserine-C5:0	11	Threonine/homoserine	C5:0	C5	0	odd
Arginine-C18:1	55	Arginine	C18:1	C18	1	even
Leucine-C15:0	153	Leucine	C15:0	C15	0	odd
Alanine/Sarcosine-C15:1	20	Alanine/Sarcosine	C15:1	C15	1	odd
Glutamine-C11:2	3	Glutamine	C11:2	C11	2	odd
Phenylalanine-C17:1	19	Phenylalanine	C17:1	C17	1	odd
Glutamine-C16:1	16	Glutamine	C16:1	C16	1	even
Phenylalanine-C11:4	121	Phenylalanine	C11:4	C11	4	odd
Methionine-C4:0	6	Methionine	C4:0	C4	0	even
2-phenethylamine-C6:0	55	2-phenethylamine	C6:0	C6	0	even
Glutamic acid-C15:1	31	Glutamic acid	C15:1	C15	1	odd
Tyrosine-C18:2	78	Tyrosine	C18:2	C18	2	even
Glutamic acid-C20:4	5	Glutamic acid	C20:4	C20	4	even
Asparagine-C14:1	91	Asparagine	C14:1	C14	1	even
Spermidine-C16:0	1	Spermidine	C16:0	C16	0	even
Histidine-C18:2	11	Histidine	C18:2	C18	2	even
Cadaverine-C5:1	1	Cadaverine	C5:1	C5	1	odd
Citrulline-C18:2	3	Citrulline	C18:2	C18	2	even
Phenylalanine-C15:0	73	Phenylalanine	C15:0	C15	0	odd
Leucine-C14:1	6	Leucine	C14:1	C14	1	even
Histidine-C16:1	5	Histidine	C16:1	C16	1	even
Amylamine-C14:0	9	Amylamine	C14:0	C14	0	even
Leucine-C15:1	9	Leucine	C15:1	C15	1	odd
Leucine-C21:0	20	Leucine	C21:0	C21	0	odd
Serine-C14:1	11	Serine	C14:1	C14	1	even
Cadaverine-C3:0	7	Cadaverine	C3:0	C3	0	odd
GABA-C18:3	4	GABA	C18:3	C18	3	even
Glutamine-C11:1	2	Glutamine	C11:1	C11	1	odd
Alanine/Sarcosine-C14:0	15	Alanine/Sarcosine	C14:0	C14	0	even
Leucine-C9:4	7	Leucine	C9:4	C9	4	even
Phenylalanine-C9:0	4	Phenylalanine	C9:0	C9	0	even
2-phenethylamine-C7:0	45	2-phenethylamine	C7:0	C7	0	odd
Glutamine-C12:1	2	Glutamine	C12:1	C12	1	even
Serine-C10:0	5	Serine	C10:0	C10	0	even
Alanine/Sarcosine-C14:1	7	Alanine/Sarcosine	C14:1	C14	1	even
Tryptophan-C14:0	5	Tryptophan	C14:0	C14	0	even
Methionine-C6:0	7	Methionine	C6:0	C6	0	even
2-phenethylamine-C16:2	7	2-phenethylamine	C16:2	C16	2	even
Tryptophan-C16:0	32	Tryptophan	C16:0	C16	0	even
Lysine-C7:0	3	Lysine	C7:0	C7	0	odd
Leucine-C8:1	2	Leucine	C8:1	C8	1	even
Cystathionine-C2:0	6	Cystathionine	C2:0	C2	0	even
Citrulline-C14:0	3	Citrulline	C14:0	C14	0	even
Tyramine-C4:0	10	Tyramine	C4:0	C4	0	even
Phenylalanine-C14:0	21	Phenylalanine	C14:0	C14	0	even
Phenylalanine-C19:1	4	Phenylalanine	C19:1	C19	1	odd
Citrulline-C16:0	7	Citrulline	C16:0	C16	0	even
Glutamine-C9:0	6	Glutamine	C9:0	C9	0	even
Tryptophan-C7:0	9	Tryptophan	C7:0	C7	0	odd
Glutamic acid-C9:0	4	Glutamic acid	C9:0	C9	0	even
Alanine/Sarcosine-C19:1	9	Alanine/Sarcosine	C19:1	C19	1	odd
Cadaverine-C2:0	4	Cadaverine	C2:0	C2	0	even
Threonine/homoserine-C3:0	1	Threonine/homoserine	C3:0	C3	0	odd
Threonine/homoserine-C14:0	7	Threonine/homoserine	C14:0	C14	0	even
Tryptophan-C17:1	4	Tryptophan	C17:1	C17	1	odd
Arginine-C18:2	18	Arginine	C18:2	C18	2	even
Glutamic acid-C13:1	4	Glutamic acid	C13:1	C13	1	odd
Alanine/Sarcosine-C17:1	5	Alanine/Sarcosine	C17:1	C17	1	odd
Leucine-C17:1	23	Leucine	C17:1	C17	1	odd
Histidine-C9:4	2	Histidine	C9:4	C9	4	even
Tryptamine-C18:1	1	Tryptamine	C18:1	C18	1	even
2-aminovaleric acid-C16:0	13	2-aminovaleric acid	C16:0	C16	0	even
Tryptophan-C5:0	27	Tryptophan	C5:0	C5	0	odd
Threonine/homoserine-C6:0	4	Threonine/homoserine	C6:0	C6	0	even
Tyrosine-C11:0	3	Tyrosine	C11:0	C11	0	odd
Taurine-C16:0	3	Taurine	C16:0	C16	0	even
Citrulline-C16:1	3	Citrulline	C16:1	C16	1	even
Arginine-C13:0	5	Arginine	C13:0	C13	0	odd
Tryptophan-C6:1	3	Tryptophan	C6:1	C6	1	even
Arginine-C12:4	3	Arginine	C12:4	C12	4	even
Glutamine-C5:0	1	Glutamine	C5:0	C5	0	odd
Taurine-C18:3	7	Taurine	C18:3	C18	3	even
Leucine-C16:2	4	Leucine	C16:2	C16	2	even
Histidine-C14:0	2	Histidine	C14:0	C14	0	even
Arginine-C18:0	2	Arginine	C18:0	C18	0	even
2-phenethylamine-C19:1	4	2-phenethylamine	C19:1	C19	1	odd
Cadaverine-C12:0	2	Cadaverine	C12:0	C12	0	even
Aminoadipic acid-C10:0	1	Aminoadipic acid	C10:0	C10	0	even
Leucine-C9:0	2	Leucine	C9:0	C9	0	even
Methionine-C5:0	42	Methionine	C5:0	C5	0	odd
Leucine-C18:3	11	Leucine	C18:3	C18	3	even
Serine-C18:0	3	Serine	C18:0	C18	0	even
Alanine/Sarcosine-C17:2	3	Alanine/Sarcosine	C17:2	C17	2	odd
Serine-C24:1	3	Serine	C24:1	C24	1	even
Alanine/Sarcosine-C15:2	6	Alanine/Sarcosine	C15:2	C15	2	odd
Asparagine-C15:1	10	Asparagine	C15:1	C15	1	odd
Methionine-C9:4	4	Methionine	C9:4	C9	4	even
Putrescine-C16:1	6	Putrescine	C16:1	C16	1	even
Threonine/homoserine-C13:0	4	Threonine/homoserine	C13:0	C13	0	odd
Tryptamine-C11:0	3	Tryptamine	C11:0	C11	0	odd
Serine-C14:0	8	Serine	C14:0	C14	0	even
2-phenethylamine-C8:1	3	2-phenethylamine	C8:1	C8	1	even
