	Head	annotation
301	Asparagine	C17:1
302	Leucine	C17:1
303	Glutamine	C17:1
304	Citrulline	C17:1
305	Glutamic acid	C17:1
306	Lysine	C17:1
308	Tryptamine	C16:1
309	Phenylalanine	C17:1
310	Ornithine	C17:1
311	Serine	C17:1
312	Alanine/Sarcosine	C18:1
313	Taurine	C17:1
315	Amylamine	C17:1
316	Tryptophan	C17:1
318	Asparagine	C18:1
319	Citrulline	C18:1
320	Glutamic acid	C18:1
321	Glutamine	C18:1
322	Histidine	C18:1
324	Methionine	C18:1
325	Phenylalanine	C18:1
326	Lysine	C18:1
327	Serine	C18:1
328	Leucine	C18:1
330	Taurine	C18:1
331	Ornithine	C18:1
332	Tyrosine	C18:1
334	Tryptamine	C18:1
336	Aminoadipic acid	C18:1
337	Tryptophan	C18:1
338	Glutamine	C18:2
339	Putrescine	C18:1
340	Alanine/Sarcosine	C18:2
341	Amylamine	C18:1
343	Arginine	C18:2
344	Citrulline	C18:2
345	Asparagine	C18:2
347	Histidine	C18:2
349	Lysine	C18:2
350	Ornithine	C18:2
351	Phenylalanine	C18:2
352	Leucine	C18:2
354	Tryptamine	C18:2
355	Methionine	C18:2
356	Tryptophan	C18:2
357	Spermidine	C18:2
358	Arginine	C18:3
360	Leucine	C18:3
361	Lysine	C18:3
362	Glutamine	C18:3
363	Taurine	C18:3
364	Methionine	C18:3
366	Tryptophan	C18:3
368	Tyrosine	C18:2
369	Taurine	C18:2
372	Tyrosine	C18:3
373	Serine	C18:2
375	Arginine	C18:1
377	Arginine	C19:1
378	Leucine	C20:1
379	Amylamine	C19:1
380	Ornithine	C19:1
381	Leucine	C19:2
382	Glutamic acid	C19:1
383	Leucine	C19:1
384	Leucine	C20:2
385	Serine	C20:2
386	Arginine	C20:3
387	Amylamine	C20:1
388	Tryptamine	C20:1
389	Phenylalanine	C20:2
390	Leucine	C20:3
392	Taurine	C20:3
393	Methionine	C20:3
394	Arginine	C20:4
395	Tyrosine	C20:3
396	Phenylalanine	C20:3
397	Phenylalanine	C20:4
398	Lysine	C20:4
400	Methionine	C20:4
402	Leucine	C20:4
404	Histidine	C20:4
406	Tryptophan	C20:4
407	Citrulline	C20:4
409	Tyrosine	C20:4
410	Tryptamine	C20:4
413	Arginine	C20:5
414	Histamine	C20:4
415	Histidine	C20:5
416	Methionine	C20:5
417	Tryptophan	C20:5
418	Leucine	C20:5
419	Tyrosine	C22:1
421	Arginine	C22:1
423	Arginine	C22:4
424	Phenylalanine	C22:3
425	Amylamine	C22:1
426	Methionine	C22:4
428	Phenylalanine	C18:3
429	Taurine	C20:2
430	Phenylalanine	C22:4
431	Glutamic acid	C22:5
432	Arginine	C22:5
433	Tyrosine	C22:4
434	Tryptamine	C22:1
435	Histidine	C22:5
436	Lysine	C22:5
437	Phenylalanine	C22:5
438	Leucine	C22:5
439	Arginine	C22:6
440	Tryptophan	C22:5
441	Taurine	C22:5
442	Glutamine	C22:6
443	Tyrosine	C22:5
444	Histidine	C22:6
445	Leucine	C22:6
446	Phenylalanine	C22:6
447	Lysine	C22:6
449	Methionine	C22:6
450	Tyrosine	C22:6
452	Tryptophan	C22:6
453	Tryptamine	C22:6
454	Amylamine	C24:1
455	Histidine	C4:0
456	Ornithine	C4:0
457	Citrulline	C4:0
460	Histamine	C4:0
461	Putrescine	C4:0
463	Citrulline	C5:0
466	Leucine	C5:0
467	Ornithine	C5:0
469	Taurine	C5:0
471	Dopamine	C5:0
472	Lysine	C20:5
473	Tyrosine	C20:5
474	Phenylalanine	C20:5
475	Putrescine	C5:0
478	Spermidine	C5:0
479	Aminoadipic acid	C5:0
480	Glycine	C6:0
481	Glutamic acid	C6:0
483	Taurine	C6:0
484	Lysine	C4:0
485	Leucine	C22:4
487	Serine	C6:0
488	Ornithine	C6:0
489	Dopamine	C6:0
492	Histamine	C6:0
493	Putrescine	C6:0
494	Spermidine	C6:0
495	Alanine/Sarcosine	C7:0
496	Aminoadipic acid	C6:0
497	Arginine	C7:0
498	Citrulline	C7:0
500	Methionine	C7:0
501	Lysine	C7:0
502	Glutamine	C7:0
503	Glutamic acid	C7:0
504	Histidine	C7:0
505	Aspartic acid	C7:0
506	Amylamine	C7:0
507	Histamine	C7:0
508	Aminoadipic acid	C7:0
509	Ornithine	C7:0
510	Spermidine	C7:0
511	Taurine	C7:0
513	Taurine	C8:0
514	Aspartic acid	C8:0
518	Ornithine	C8:0
520	Alanine/Sarcosine	C8:0
521	Putrescine	C7:0
523	Putrescine	C8:0
524	Dopamine	C8:0
525	Aminoadipic acid	C8:0
526	Spermidine	C8:0
528	Glycine	C8:0
529	Tryptamine	C8:0
530	Alanine/Sarcosine	C9:0
532	Methionine	C9:0
533	Leucine	C9:0
534	Lysine	C9:0
535	Histidine	C9:0
537	Citrulline	C9:0
538	Arginine	C9:0
539	Ornithine	C9:0
540	Glutamic acid	C9:0
541	Tryptophan	C9:0
542	Phenylalanine	C9:0
543	Tryptamine	C9:0
544	Dopamine	C9:0
545	Histamine	C9:0
547	Taurine	C9:0
549	Histamine	C10:0
550	Putrescine	C9:0
551	Ornithine	C10:0
553	Aminoadipic acid	C9:0
554	Putrescine	C10:0
555	Histidine	C11:0
556	Alanine/Sarcosine	C11:0
557	Lysine	C11:0
558	Glutamic acid	C11:0
560	Leucine	C11:0
561	Spermidine	C10:0
562	Ornithine	C11:0
563	Serine	C11:0
565	Phenylalanine	C11:0
566	Taurine	C11:0
567	Methionine	C11:0
568	Tyrosine	C11:0
570	Amylamine	C11:0
572	Spermidine	C11:0
573	Putrescine	C11:0
574	Tryptophan	C11:0
575	Histamine	C11:0
577	Aminoadipic acid	C11:0
579	Spermidine	C12:0
580	Glutamic acid	C13:0
581	Tryptophan	C12:0
582	Alanine/Sarcosine	C13:0
583	Ornithine	C12:0
584	PABA	C12:0
585	Histidine	C13:0
587	Histamine	C12:0
588	Leucine	C13:0
590	Phenylalanine	C13:0
591	Tyrosine	C13:0
592	Serine	C13:0
593	Ornithine	C13:0
596	PABA	C13:0
597	Lysine	C13:0
598	Amylamine	C13:0
599	Putrescine	C13:0
601	Spermidine	C13:0
602	Tryptamine	C13:0
604	Spermidine	C14:0
605	Histamine	C13:0
606	Glutamic acid	C14:0
608	Aminoadipic acid	C13:0
610	Taurine	C15:0
612	Histamine	C15:0
613	Putrescine	C15:0
617	Histamine	C16:0
619	Dopamine	C15:0
620	Aminoadipic acid	C15:0
622	Aminoadipic acid	C16:0
624	Histidine	C17:0
625	Methionine	C17:0
626	Ornithine	C17:0
629	Taurine	C17:0
630	Citrulline	C18:0
631	Histamine	C17:0
633	Asparagine	C18:0
634	Aminoadipic acid	C17:0
635	Amylamine	C17:0
637	Aminoadipic acid	C18:0
638	Dopamine	C18:0
640	Putrescine	C18:0
641	Asparagine	C19:0
642	Arginine	C19:0
643	Histamine	C18:0
644	Lysine	C19:0
645	Glycine	C19:0
646	Citrulline	C19:0
647	Serine	C19:0
648	Histidine	C19:0
651	Glutamine	C19:0
652	PABA	C19:0
653	Histamine	C19:0
655	Amylamine	C19:0
656	Putrescine	C19:0
657	Asparagine	C20:0
658	Arginine	C20:0
659	Aminoadipic acid	C19:0
661	Glutamic acid	C20:0
662	Citrulline	C20:0
663	Glycine	C20:0
664	Glutamine	C20:0
665	Histidine	C20:0
666	Leucine	C20:0
667	Methionine	C20:0
669	Phenylalanine	C20:0
670	Serine	C20:0
671	Lysine	C20:0
672	Taurine	C20:0
673	Tryptophan	C20:0
674	Tyrosine	C20:0
678	PABA	C20:0
680	Aminoadipic acid	C20:0
681	Alanine/Sarcosine	C21:0
682	Histamine	C20:0
683	Arginine	C21:0
685	Citrulline	C21:0
686	Asparagine	C21:0
687	Glutamine	C21:0
688	Methionine	C21:0
689	Histidine	C21:0
690	Glycine	C21:0
691	Serine	C21:0
692	Lysine	C21:0
694	Tyrosine	C21:0
696	Tryptophan	C21:0
701	Methionine	C19:0
702	PABA	C21:0
704	Taurine	C21:0
705	Tryptamine	C21:0
707	Putrescine	C21:0
708	Aminoadipic acid	C21:0
709	Arginine	C22:0
710	Histamine	C21:0
711	Amylamine	C21:0
713	Asparagine	C22:0
714	Glutamine	C22:0
716	Alanine/Sarcosine	C22:0
717	Methionine	C22:0
718	Phenylalanine	C22:0
719	Glycine	C22:0
720	Glutamic acid	C22:0
721	Leucine	C22:0
722	Serine	C22:0
723	Citrulline	C22:0
724	Histidine	C22:0
726	Histamine	C22:0
727	Tyrosine	C22:0
728	PABA	C22:0
730	Asparagine	C23:0
731	Alanine/Sarcosine	C23:0
732	Arginine	C23:0
733	Citrulline	C23:0
734	Leucine	C23:0
735	Glutamic acid	C23:0
736	Histidine	C23:0
737	Glutamine	C23:0
739	Lysine	C23:0
741	Glycine	C23:0
742	Methionine	C23:0
743	Ornithine	C23:0
745	Serine	C23:0
746	Tyrosine	C23:0
747	Tryptophan	C23:0
749	Histamine	C23:0
752	Phenylalanine	C23:0
753	Putrescine	C23:0
754	Arginine	C24:0
756	Asparagine	C24:0
758	Aminoadipic acid	C23:0
759	Methionine	C24:0
760	Histidine	C24:0
762	Glutamic acid	C24:0
763	Glutamine	C24:0
764	Leucine	C24:0
765	Citrulline	C24:0
767	Lysine	C24:0
769	Serine	C24:0
770	Tyrosine	C24:0
772	Histamine	C24:0
773	Aminoadipic acid	C24:0
774	Putrescine	C24:0
776	Ornithine	C11:1
778	Citrulline	C11:1
779	Methionine	C11:1
782	Histidine	C11:1
783	Serine	C11:1
786	PABA	C11:1
787	Tryptophan	C11:1
788	Tyrosine	C11:1
789	Histamine	C11:1
792	Citrulline	C12:1
794	Amylamine	C11:1
796	Glutamine	C12:1
797	Histidine	C12:1
798	Aminoadipic acid	C11:1
800	Ornithine	C12:1
801	Leucine	C12:1
804	Methionine	C12:1
805	Tryptophan	C12:1
806	Tryptamine	C12:1
807	Phenylalanine	C12:1
811	Asparagine	C13:1
812	Putrescine	C12:1
813	Amylamine	C12:1
814	Spermidine	C12:1
815	Histamine	C12:1
816	Alanine/Sarcosine	C13:1
817	Citrulline	C13:1
819	Histidine	C13:1
820	Lysine	C13:1
821	Taurine	C13:1
822	Methionine	C13:1
823	Tyrosine	C13:1
824	Ornithine	C13:1
827	Aminoadipic acid	C13:1
828	Tryptophan	C13:1
830	Histamine	C13:1
831	Tryptamine	C13:1
832	Lysine	C14:1
833	Dopamine	C14:1
836	Tryptophan	C14:1
837	Ornithine	C14:1
838	Spermidine	C14:1
840	PABA	C13:1
841	Alanine/Sarcosine	C15:1
843	Leucine	C15:1
844	Histidine	C15:1
845	Lysine	C15:1
846	Histamine	C14:1
847	Methionine	C15:1
848	PABA	C14:1
849	Ornithine	C15:1
851	Amylamine	C14:1
853	Dopamine	C15:1
854	PABA	C15:1
855	Tyrosine	C15:1
856	Tryptophan	C15:1
857	Tryptamine	C15:1
858	Histamine	C15:1
859	Spermidine	C15:1
860	PABA	C16:1
861	Dopamine	C16:1
862	Alanine/Sarcosine	C17:1
863	Putrescine	C15:1
865	Methionine	C17:1
866	Histidine	C17:1
867	Aminoadipic acid	C15:1
869	Tyrosine	C17:1
870	Aminoadipic acid	C16:1
871	Histamine	C16:1
875	Histamine	C17:1
876	Putrescine	C17:1
878	Tryptamine	C17:1
879	Aminoadipic acid	C17:1
880	Spermidine	C17:1
884	PABA	C18:2
885	Histamine	C18:2
889	Histamine	C18:1
890	Putrescine	C18:2
891	Citrulline	C18:3
893	Serine	C18:3
894	Histidine	C18:3
895	Ornithine	C18:3
896	PABA	C18:3
899	Tryptamine	C18:3
900	Histamine	C18:3
901	Putrescine	C18:3
902	Alanine/Sarcosine	C19:1
903	Aminoadipic acid	C18:3
905	Citrulline	C19:1
906	Glutamine	C19:1
907	Spermidine	C18:3
908	Lysine	C19:1
911	Phenylalanine	C19:1
912	Tryptophan	C19:1
913	Serine	C19:1
916	Taurine	C19:1
917	Tyrosine	C19:1
918	Methionine	C19:1
921	Tryptamine	C19:1
922	Aminoadipic acid	C19:1
923	Arginine	C19:2
925	Asparagine	C19:2
928	Glutamine	C19:2
929	Alanine/Sarcosine	C19:2
931	Histamine	C19:1
932	Lysine	C19:2
933	Ornithine	C19:2
934	Histidine	C19:2
935	Taurine	C19:2
937	Tryptophan	C19:2
938	Tyrosine	C19:2
941	Dopamine	C19:2
942	Tryptamine	C19:2
944	Histamine	C19:2
945	Asparagine	C19:1
946	Putrescine	C19:2
948	Alanine/Sarcosine	C20:1
949	Serine	C19:2
950	Putrescine	C19:1
951	Histidine	C19:1
952	Phenylalanine	C19:2
953	Citrulline	C19:2
954	Glutamic acid	C19:2
955	Methionine	C19:2
957	Aminoadipic acid	C19:2
958	Arginine	C20:1
959	Citrulline	C20:1
960	Glutamic acid	C20:1
961	Asparagine	C20:1
962	Glutamine	C20:1
965	Histidine	C20:1
966	Lysine	C20:1
967	Methionine	C20:1
968	Ornithine	C20:1
969	Phenylalanine	C20:1
971	Tryptophan	C20:1
972	Tyrosine	C20:1
976	Serine	C20:1
978	Aminoadipic acid	C20:1
979	Putrescine	C20:1
981	Arginine	C20:2
982	Histamine	C20:1
983	Alanine/Sarcosine	C20:2
985	Citrulline	C20:2
986	Glutamine	C20:2
987	Methionine	C20:2
988	Histidine	C20:2
991	Tryptophan	C20:2
993	Tyrosine	C20:2
996	Lysine	C20:2
997	Tryptamine	C20:2
999	Ornithine	C20:2
1000	Histamine	C20:2
1001	Putrescine	C20:2
1002	Asparagine	C20:3
1005	Citrulline	C20:3
1010	Glutamic acid	C20:3
1011	Glutamine	C20:3
1012	Histidine	C20:3
1013	Ornithine	C20:3
1016	Tryptophan	C20:3
1018	PABA	C20:3
1020	Lysine	C20:3
1021	Tryptamine	C20:3
1025	Glutamic acid	C20:4
1026	Ornithine	C20:4
1027	PABA	C20:4
1029	Putrescine	C20:4
1030	Tyramine	C20:4
1036	Glutamine	C20:5
1037	Citrulline	C20:5
1038	Glutamic acid	C20:5
1040	Ornithine	C20:5
1041	PABA	C20:5
1043	Tryptamine	C20:5
1045	Histamine	C20:5
1046	Putrescine	C20:3
1047	Histamine	C20:3
1048	Glutamine	C20:4
1050	Aminoadipic acid	C20:3
1051	Serine	C20:3
1052	Aminoadipic acid	C20:4
1054	Citrulline	C22:1
1056	Putrescine	C20:5
1058	Alanine/Sarcosine	C22:1
1059	Aminoadipic acid	C20:5
1061	Glutamine	C22:1
1062	Asparagine	C22:1
1063	Tyramine	C20:5
1064	Glutamic acid	C22:1
1065	Histidine	C22:1
1066	Lysine	C22:1
1067	Phenylalanine	C22:1
1068	Serine	C22:1
1069	Taurine	C22:1
1070	Methionine	C22:1
1072	Ornithine	C22:1
1075	Putrescine	C22:1
1076	Tryptophan	C22:1
1077	Histamine	C22:1
1078	Dopamine	C22:1
1079	Spermidine	C22:1
1081	Alanine/Sarcosine	C22:2
1082	Arginine	C22:2
1084	Asparagine	C22:2
1085	Glutamine	C22:2
1087	Aminoadipic acid	C22:1
1088	Citrulline	C22:2
1090	Ornithine	C22:2
1091	Lysine	C22:2
1092	Serine	C22:2
1093	Methionine	C22:2
1095	Leucine	C22:2
1096	Histidine	C22:2
1097	Tyrosine	C22:2
1098	Tryptophan	C22:2
1101	PABA	C22:2
1102	Putrescine	C22:2
1103	Arginine	C22:3
1104	Alanine/Sarcosine	C22:3
1106	Tryptamine	C22:2
1108	Histamine	C22:2
1111	Citrulline	C22:3
1113	Glutamine	C22:3
1114	Histidine	C22:3
1117	Ornithine	C22:3
1119	Lysine	C22:3
1120	Methionine	C22:3
1121	Leucine	C22:3
1123	Tyrosine	C22:3
1124	Serine	C22:3
1126	Histamine	C22:3
1127	Putrescine	C22:3
1128	Tryptamine	C22:3
1130	PABA	C22:3
1131	Phenylalanine	C22:2
1132	Tryptophan	C22:3
1133	Leucine	C22:1
1135	Aminoadipic acid	C22:3
1140	Glutamic acid	C22:4
1141	Lysine	C22:4
1143	Histidine	C22:4
1144	Citrulline	C22:4
1145	Glutamine	C22:4
1146	Ornithine	C22:4
1149	Tryptophan	C22:4
1152	PABA	C22:4
1153	Histamine	C22:4
1155	Tryptamine	C22:4
1156	Putrescine	C22:4
1158	Citrulline	C22:5
1159	Aminoadipic acid	C22:4
1162	Glutamine	C22:5
1167	PABA	C22:5
1168	Methionine	C22:5
1172	Putrescine	C22:5
1175	Ornithine	C22:5
1177	Spermidine	C22:5
1179	Tryptamine	C22:5
1180	Histamine	C22:5
1182	Ornithine	C22:6
1183	Aminoadipic acid	C22:5
1186	Citrulline	C22:6
1192	PABA	C22:6
1193	Putrescine	C22:6
1196	Histamine	C22:6
1197	Aminoadipic acid	C22:6
1198	Alanine/Sarcosine	C23:1
1199	Citrulline	C23:1
1200	Asparagine	C23:1
1203	Glutamic acid	C23:1
1204	Histidine	C23:1
1205	Arginine	C23:1
1206	Glutamine	C23:1
1207	Lysine	C23:1
1208	Taurine	C23:1
1209	Methionine	C23:1
1210	Phenylalanine	C23:1
1211	Ornithine	C23:1
1212	Serine	C23:1
1214	Leucine	C23:1
1215	Dopamine	C23:1
1216	Tyrosine	C23:1
1217	Tryptamine	C23:1
1218	Tryptophan	C23:1
1220	Putrescine	C23:1
1221	Histamine	C23:1
1223	Citrulline	C24:1
1225	Alanine/Sarcosine	C24:1
1226	Glutamine	C24:1
1228	Asparagine	C24:1
1229	Glutamic acid	C24:1
1230	Amylamine	C23:1
1231	Spermidine	C23:1
1232	Histidine	C24:1
1233	Arginine	C24:1
1234	Lysine	C24:1
1235	Ornithine	C24:1
1237	Phenylalanine	C24:1
1238	Leucine	C24:1
1239	Methionine	C24:1
1241	Tryptophan	C24:1
1244	Serine	C24:1
1246	Tyrosine	C24:1
1247	Histamine	C24:1
1248	Tryptamine	C24:1
1251	Putrescine	C24:1
1257	Spermidine	C4:0
1273	Valine	C4:0
1305	Threonine/homoserine	C5:0
1320	GABA	C5:0
1347	Aspartic acid	C6:0
1358	Threonine/homoserine	C6:0
1384	Threonine/homoserine	C7:0
1428	Valine	C7:0
1500	Valine	C8:0
1524	Threonine/homoserine	C9:0
1537	Aspartic acid	C9:0
1548	Glycine	C9:0
1577	Valine	C9:0
1606	Glycine	C10:0
1626	Threonine/homoserine	C10:0
1649	Aspartic acid	C10:0
1677	Glycine	C11:0
1681	Aspartic acid	C11:0
1702	Threonine/homoserine	C11:0
1707	Valine	C11:0
1738	Glycine	C12:0
1753	Threonine/homoserine	C12:0
1756	Valine	C12:0
1769	Aspartic acid	C12:0
1798	Glycine	C13:0
1853	Glycine	C14:0
1879	Threonine/homoserine	C13:0
1885	Threonine/homoserine	C14:0
1910	Glycine	C15:0
1918	Threonine/homoserine	C15:0
1957	Threonine/homoserine	C16:0
1959	Valine	C16:0
1987	Threonine/homoserine	C17:0
1991	Valine	C17:0
2019	Threonine/homoserine	C18:0
2032	Ornithine	C18:0
2033	Valine	C18:0
2059	Ornithine	C19:0
2061	Valine	C19:0
2062	Threonine/homoserine	C19:0
2093	Ornithine	C20:0
2096	Valine	C20:0
2105	Threonine/homoserine	C20:0
2118	Threonine/homoserine	C21:0
2122	Valine	C21:0
2146	Threonine/homoserine	C22:0
2152	Valine	C22:0
2157	Threonine/homoserine	C23:0
2168	Alanine/Sarcosine	C24:0
2178	Threonine/homoserine	C24:0
2196	Threonine/homoserine	C11:1
2202	Asparagine	C11:1
2209	Alanine/Sarcosine	C11:1
2212	Aspartic acid	C11:1
2215	Glycine	C11:1
2226	Valine	C11:1
2246	Spermidine	C11:1
2249	Asparagine	C12:1
2251	Alanine/Sarcosine	C12:1
2254	Glycine	C12:1
2266	Taurine	C12:1
2267	Threonine/homoserine	C12:1
2278	Valine	C12:1
2307	Serine	C13:1
2311	Threonine/homoserine	C13:1
2312	Spermidine	C13:1
2318	Aspartic acid	C13:1
2324	Glycine	C13:1
2340	Valine	C13:1
2377	Threonine/homoserine	C14:1
2388	Glycine	C14:1
2421	Glycine	C15:1
2423	Threonine/homoserine	C15:1
2462	Glycine	C16:1
2473	Threonine/homoserine	C16:1
2502	Glycine	C17:1
2503	Threonine/homoserine	C17:1
2536	Glycine	C18:1
2554	Valine	C18:1
2556	Threonine/homoserine	C18:1
2558	Spermidine	C18:1
2570	Glycine	C18:2
2580	Threonine/homoserine	C18:2
2601	Alanine/Sarcosine	C18:3
2602	Threonine/homoserine	C18:3
2610	Glutamic acid	C18:3
2646	Glycine	C19:1
2652	Threonine/homoserine	C19:1
2657	Valine	C19:1
2671	Spermidine	C19:1
2680	Threonine/homoserine	C19:2
2699	Spermidine	C19:2
2707	Glycine	C20:1
2716	Threonine/homoserine	C20:1
2730	Valine	C20:1
2747	Alanine/Sarcosine	C20:3
2754	Spermidine	C20:1
2757	Glycine	C20:3
2763	Threonine/homoserine	C20:3
2774	Spermidine	C20:2
2780	Spermidine	C20:3
2799	Threonine/homoserine	C20:4
2807	Valine	C20:4
2815	Spermidine	C20:4
2832	Valine	C20:5
2854	Spermidine	C20:5
2876	Glycine	C22:1
