Variable	metadata	Coefficient	SE	N	P_Value	qval	Class
Tyrosine-C18:1	hiv_status_clean	-0.20822	0.16421	313	0.205738	0.638345	Tyrosine
Lysine-C5:0	hiv_status_clean	0.109706	0.092421	313	0.236338	0.638345	Lysine
Histamine-C4:0...33	hiv_status_clean	0.400041	0.337518	313	0.237001	0.638345	Histamine
Serotonin-C18:1	hiv_status_clean	-0.06683	0.056486	313	0.237905	0.638345	Serotonin
Spermidine-C4:0...84	hiv_status_clean	-0.15352	0.129936	313	0.238408	0.638345	Spermidine
Histamine-C6:0...36	hiv_status_clean	0.181351	0.162289	313	0.264734	0.638345	Histamine
Tyramine-C6:0	hiv_status_clean	0.01399	0.012534	313	0.265189	0.638345	Tyramine
Tyrosine-C18:2	hiv_status_clean	-0.1068	0.097811	313	0.275711	0.638345	Tyrosine
Cadaverine-C5:0	hiv_status_clean	0.49116	0.457917	313	0.284443	0.638345	Cadaverine
Histamine-C15:0	hiv_status_clean	-0.15773	0.147032	313	0.285328	0.638345	Histamine
Putrescine-C18:0	hiv_status_clean	-0.05016	0.029458	313	0.296707	0.64082	Putrescine
Arginine-C5:0	hiv_status_clean	-0.2182	0.210246	313	0.30034	0.64082	Arginine
Methionine-C4:0	hiv_status_clean	-0.03793	0.018082	313	0.309568	0.64082	Methionine
Leucine-C18:1...42	hiv_status_clean	-0.16336	0.161459	313	0.312434	0.64082	Leucine
Lysine-C18:1	hiv_status_clean	-0.13173	0.130966	313	0.315486	0.64082	Lysine
Histamine-C12:0	hiv_status_clean	0.156298	0.159189	313	0.32716	0.64082	Histamine
Tyrosine-C2:0	hiv_status_clean	-0.22792	0.233151	313	0.330022	0.64082	Tyrosine
Putrescine-C16:0	hiv_status_clean	-0.11789	0.125564	313	0.348703	0.664196	Putrescine
Dopamine-C2:0	hiv_status_clean	0.161184	0.177025	313	0.363481	0.670645	Dopamine
N-acetylcadaverine-C7:0	hiv_status_clean	-0.15152	0.168272	313	0.368761	0.670645	Nacetylcadaverine
Putrescine-C5:0...75	hiv_status_clean	0.317922	0.359905	313	0.377853	0.670645	Putrescine
Cadaverine-C18:0	hiv_status_clean	-0.085	0.096666	313	0.380159	0.670645	Cadaverine
Histamine-C5:0...34	hiv_status_clean	0.306459	0.350155	313	0.382268	0.670645	Histamine
Arginine-C15:0	hiv_status_clean	0.208255	0.246353	313	0.398775	0.693522	Arginine
Tyramine-C18:1	hiv_status_clean	0.084866	0.105408	313	0.421449	0.709386	Tyramine
Tyramine-C10:1	hiv_status_clean	0.083495	0.102903	313	0.421737	0.709386	Tyramine
Tyramine-C2:0	hiv_status_clean	0.116909	0.147623	313	0.429178	0.709386	Tyramine
Histamine-C2:0...29	hiv_status_clean	0.190711	0.248093	313	0.442775	0.719959	Histamine
Putrescine-C4:0	hiv_status_clean	0.236259	0.324556	313	0.467301	0.726801	Putrescine
Cadaverine-C10:0	hiv_status_clean	0.118662	0.164696	313	0.472002	0.726801	Cadaverine
Arginine-C18:1	hiv_status_clean	0.116026	0.161358	313	0.472767	0.726801	Arginine
Cadaverine-C7:0	hiv_status_clean	-0.12292	0.171579	313	0.474411	0.726801	Cadaverine
Methionine-C3:0	hiv_status_clean	-0.01756	0.024614	313	0.476054	0.726801	Methionine
Histidine-C5:0	hiv_status_clean	0.216815	0.31906	313	0.497469	0.729376	Histidine
Glutamic acid-C2:0	hiv_status_clean	-0.02441	0.036089	313	0.499403	0.729376	Glutamic
N-acetylputrescine-C2:0...64	hiv_status_clean	-0.04482	0.066294	313	0.499623	0.729376	Nacetylcadaverine
Aspartic acid-C2:0	hiv_status_clean	0.083632	0.126747	313	0.509976	0.733779	Aspartic
Putrescine-C2:0	hiv_status_clean	-0.02219	0.035676	313	0.534432	0.757733	Putrescine
