Variable	metadata	Coefficient	SE	N	P_Value	qval	Class
Histamine-C12:0	globalzimpairment_pe	0.047409	0.142134	313	0.738977	0.862241	Histamine
Histamine-C15:0	globalzimpairment_pe	0.182937	0.13151	313	0.166037	0.587808	Histamine
Histamine-C16:0	globalzimpairment_pe	0.191288	0.116858	313	0.102798	0.574265	Histamine
Histamine-C18:1	globalzimpairment_pe	0.140106	0.19142	313	0.464812	0.726801	Histamine
Histamine-C18:2	globalzimpairment_pe	-0.08006	0.155058	313	0.606096	0.783473	Histamine
Histamine-C2:0...29	globalzimpairment_pe	0.153045	0.219425	313	0.486055	0.729376	Histamine
Histamine-C2:0...30	globalzimpairment_pe	0.282739	0.195709	313	0.149576	0.575292	Histamine
Histamine-C3:0	globalzimpairment_pe	0.1722	0.205922	313	0.40368	0.696001	Histamine
Histamine-C4:0...32	globalzimpairment_pe	0.205192	0.233479	313	0.38022	0.670645	Histamine
Histamine-C4:0...33	globalzimpairment_pe	0.403217	0.291453	313	0.167525	0.587808	Histamine
Histamine-C5:0...34	globalzimpairment_pe	0.318182	0.298483	313	0.287255	0.638345	Histamine
Histamine-C5:0...35	globalzimpairment_pe	0.314586	0.194159	313	0.106219	0.574265	Histamine
Histamine-C6:0...36	globalzimpairment_pe	0.045618	0.143123	313	0.75015	0.862241	Histamine
Histamine-C6:0...37	globalzimpairment_pe	0.099652	0.257964	313	0.69954	0.845588	Histamine
Histidine-C5:0	globalzimpairment_pe	0.227639	0.285582	313	0.426138	0.709386	Histidine
L-DOPA-C2:0	globalzimpairment_pe	0.035487	0.029112	313	0.22389	0.638345	LDOPA
Leucine-C14:0	globalzimpairment_pe	0.233562	0.189671	313	0.219372	0.638345	Leucine
Leucine-C16:0	globalzimpairment_pe	0.079186	0.073255	313	0.281254	0.638345	Leucine
Leucine-C18:1...42	globalzimpairment_pe	0.173623	0.144754	313	0.231275	0.638345	Leucine
Leucine-C18:1...43	globalzimpairment_pe	0.057941	0.058778	313	0.32533	0.64082	Leucine
Leucine-C18:2	globalzimpairment_pe	0.07776	0.097541	313	0.425942	0.709386	Leucine
Leucine-C4:0	globalzimpairment_pe	0.027554	0.037616	313	0.464403	0.726801	Leucine
Leucine-C5:0	globalzimpairment_pe	0.022879	0.059981	313	0.703157	0.845588	Leucine
Leucine-C7:0	globalzimpairment_pe	0.004991	0.010475	313	0.634985	0.803778	Leucine
Leucine-C9:4	globalzimpairment_pe	0.177424	0.140438	313	0.207418	0.638345	Leucine
Lysine-C16:0	globalzimpairment_pe	0.018649	0.06897	313	0.787035	0.884309	Lysine
Lysine-C18:1	globalzimpairment_pe	-0.00244	0.115009	313	0.983098	0.995987	Lysine
Lysine-C18:2	globalzimpairment_pe	0.067798	0.196329	313	0.730087	0.862241	Lysine
Lysine-C2:0	globalzimpairment_pe	0.110401	0.288638	313	0.702374	0.845588	Lysine
Lysine-C5:0	globalzimpairment_pe	0.254228	0.082466	313	0.002258	0.150503	Lysine
Methionine-C16:0	globalzimpairment_pe	0.081273	0.086203	313	0.346677	0.664196	Methionine
Methionine-C18:2	globalzimpairment_pe	-0.06675	0.059888	313	0.265879	0.638345	Methionine
Methionine-C3:0	globalzimpairment_pe	0.033983	0.022067	313	0.124585	0.574265	Methionine
Methionine-C4:0	globalzimpairment_pe	-2.33E-12	1.52E-07	313	0.999991	0.999991	Methionine
Methionine-C9:4	globalzimpairment_pe	0.147498	0.136869	313	0.282023	0.638345	Methionine
